Network_zones,Network_Lines,Start_Zone,End_Zone,Line_Max_Flow_MW,transmission_path_name,distance_mile,Line_Loss_Percentage,Line_Max_Reinforcement_MW,Line_Reinforcement_Cost_per_MWyr,Bidirectional,DerateCapRes_1,CapRes_1,CapRes_Excl_1
z1,1,2,1,50,M1_Z1,100,0,0,0,0,0,0,0
z2,2,1,2,200,Z1_M1,100,0,0,0,0,0,0,0
