Resource,GibsonSolar,PutahCreek,Resurgence_Hybrid,WillowSpringsSolar,Total
Zone,1,1,1,1,0
AnnualSum,0.0,170.73369039026508,4670.94077797131,2095.86613844731,6937.540606808885
t1,0.0,4.010637597303784e-8,1.3661646474957805,0.5744814380788223,1.9406461256809788
t2,0.0,3.580904836627323e-7,1.3414542689971658,0.5473003119444688,1.8887549390321183
t3,0.0,2.632921761416107e-7,1.17565034055219,0.4058095726978972,1.5814601765422633
t4,0.0,0.05999974255160459,1.3400400418278464,0.5456403318418773,1.9456801162213284
t5,0.0,0.0009658418403762468,8.979397766314277e-8,8.979171909205526e-8,0.000966021426073002
t6,0.0,5.597570271257368e-7,1.3478683599231598,0.5540409399353289,1.901909859615516
t7,0.0,8.197842276026291e-8,1.358811183811303,0.5660615802035873,1.924872845993313
t8,0.0,6.883448602463297e-8,1.3648390616766861,0.5727173049682336,1.9375564354794057
t9,0.0,9.876159200876574e-8,1.3607535555237866,0.5681606950351301,1.9289143493205088
t10,0.0,2.3427520854050468e-7,1.3607307320951723,0.5680419909796446,1.9287729573500254
t11,0.0,7.38297923550109e-8,1.3454882106678223,0.551322743642,1.8968110281396147
t12,0.0,1.1253813347052596e-7,1.3433264963404832,0.5488769113574292,1.8922035202360459
t13,0.0,3.379310468826196e-8,1.3586616337918584,0.5657431803077385,1.9244048478927018
t14,0.0,5.373732239578473e-8,1.3458888451152724,0.5516307720977811,1.8975196709503759
t15,0.0,6.611121689077713e-8,1.3303561700842927,0.5349359111284436,1.8652921473239532
t16,0.0,0.05999961838953165,1.3431112268697534,0.5485679801791401,1.9516788254384252
t17,0.0,3.2339435096677094e-7,1.3435748450350475,0.5491235152635435,1.892698683692942
t18,0.0,0.059999650041779984,1.361933490227773,0.5693342437853246,1.9912673840548776
t19,0.0,0.0009653223321806918,5.769911650302577e-8,5.7697643339518506e-8,0.0009654377289405343
t20,0.0,0.059999840399111305,1.3596631386086437,0.566801363267432,1.986464342275187
t21,0.0,0.0009647388861195815,4.2972775257380134e-8,4.2971952365937504e-8,0.0009648248308472048
t22,0.0,2.5749160944680075e-7,1.3600757526988119,0.5672838549073296,1.9273598650977508
t23,0.0,8.403886318512557e-8,1.3536768156237173,0.560247823264532,1.9139247229271126
t24,0.0,6.368212581180862e-8,1.3576067978482584,0.5645569733994898,1.922163834929874
t25,0.0,5.355275037676992e-8,1.3560816314685527,0.5629244065664516,1.9190060915877547
t26,0.0,5.2121290208873005e-8,1.356653836914368,0.5635323656168735,1.9201862546525317
