Resource,CAISO_Advanced_CCGT_candidate,CAISO_Aero_CT_candidate,CAISO_Reciprocating_Engine_candidate,CAISO_Shed_DR_Tranche1,CAM_CAM_RA_i,CAM_CAM_RA_ii,CAM_CAM_RA_iii,CAM_CPE_RA_i,CAM_CPE_RA_ii,CAM_DR_RA,Generic_RA_Only,Leapfrog_Power,Tierra_Buena,Aquamarine_Westside,Arizona_Solar,Humboldt_Bay_Offshore_Wind,Morro_Bay_Offshore_Wind,NW_Ext_Tx_Wind,New_Mexico_Wind,Northern_California_Solar,Northern_California_Wind,Riverside_Palm_Springs_Wind,Riverside_Solar,Wyoming_Wind,Arizona_Li_Battery,CAISO_New_Flow_Battery,CAISO_New_Flow_Battery_12,CAISO_New_Flow_Battery_8,CAISO_New_LDES_Battery_12,CC_Power_GoalLine,CC_Power_Tumbleweed,Generic_4hr_battery_low_cost,Generic_6hr_battery,Generic_6hr_battery_low_cost,Generic_8hr_battery,Generic_8hr_battery_low_cost,Northern_California_Li_Battery,Riverside_Li_Battery,Riverside_West_Pumped_Storage,Tehachapi_Pumped_Storage,FishLake,Greater_Imperial_Geothermal,InState_Biomass,Northern_California_Geothermal,Ormat_Portfolio,Southern_Nevada_Geothermal,IndianValley_Hydro,GibsonSolar,PutahCreek,Resurgence_Hybrid,WillowSpringsSolar
t5091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-135.41667863031424,0.0,0.0,0.0,0.0,0.0,0.0,-135.991014717661,-135.2946262927837,-135.40950345316233,-133.11105504702172,-135.39779515962402,-135.41667863031424,-135.41667863031424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.34278418052466,-79.03610915644497,-79.11432531518444
t5092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-135.41625213907525,0.0,0.0,0.0,0.0,0.0,0.0,-135.58511516481454,-135.22724562029683,-135.4065317598729,-132.85568156055803,-135.39519547434514,-135.41625213907525,-135.41625213907525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.34384066098549,-79.03627011064307,-79.11453905965101
t5093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-135.41569738545113,0.0,0.0,0.0,0.0,0.0,0.0,-135.09787130499936,-135.13131660527824,-135.40232810957227,-132.48465700434232,-135.3913449633839,-135.41569738545113,-135.41569738545113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.3448250397732,-79.0364277885482,-79.11474592676682
t5094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-135.414323061747,0.0,0.0,0.0,0.0,0.0,0.0,-134.39217776735697,-134.965534616971,-135.3951846715386,-131.8511405549682,-135.3846224260984,-135.414323061747,-135.414323061747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.34574004727882,-79.03658230963457,-79.11494622140404
t5095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-114.36142893150928,0.0,0.0,0.0,0.0,0.0,0.0,-116.25099632383943,-117.98078397882112,-118.48486932974559,-127.06801975703316,-127.91801002219923,-114.36142893150928,-114.36142893150928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.34658806408292,-79.03673376738102,-79.11514022401077
t5096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46.278269167625844,0.0,0.0,0.0,0.0,0.0,0.0,-52.876589872351325,-58.98851486063208,-58.967655985129234,-91.79804017207752,-88.76702259776437,-46.278269167625844,-46.278269167625844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.34737156327954,-79.03688226803081,-79.1153281267456
t5097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46.277824047560955,0.0,0.0,0.0,0.0,0.0,0.0,-52.17385032108816,-58.79338198525664,-58.958834971458025,-91.00530901680379,-88.75798164925601,-46.277824047560955,-46.277824047560955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.34822074364254,-79.03703371182364,-79.11552213164154
t5098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46.277718050560416,0.0,0.0,0.0,0.0,0.0,0.0,-51.85843137092466,-58.702666448847324,-58.95477424701793,-90.61790742336593,-88.7536895838786,-46.277718050560416,-46.277718050560416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.34914155426243,-79.03718825090976,-79.11572269882967
t5099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46.27777299402844,0.0,0.0,0.0,0.0,0.0,0.0,-51.708532481756855,-58.64974587613308,-58.95250286450555,-90.37539312188333,-88.75112783138312,-46.27777299402844,-46.27777299402844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.35013312286836,-79.03734599139526,-79.11592986148507
t5100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46.278123671761705,0.0,0.0,0.0,0.0,0.0,0.0,-51.7054990492994,-58.61928980051638,-58.95132371967017,-90.21148352310027,-88.7495385905643,-46.278123671761705,-46.278123671761705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.35119867706311,-79.0375070554645,-79.11614398725035
t5101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.64963196079303,0.0,0.0,0.0,0.0,0.0,0.0,-52.11215132422207,-58.60893137185177,-58.95112657782892,-90.10186029936084,-88.7486526495668,-47.64963196079303,-47.64963196079303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.35234122761581,-79.0376715716024,-79.11636540912066
t5102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.7932396153234,0.0,0.0,0.0,0.0,0.0,0.0,-53.36644823027145,-58.630385643907914,-58.9524464112682,-90.03888750947553,-88.74840354501397,-49.7932396153234,-49.7932396153234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.35356381329771,-79.03783967725444,-79.11659445730231
t5103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.50734543452144,0.0,0.0,0.0,0.0,0.0,0.0,-56.42751039582548,-58.86345155576686,-58.975938599260814,-90.02835343853914,-88.74891054567206,-53.50734543452144,-53.50734543452144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.35486980382586,-79.03801154185227,-79.11683148365303
t5104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-62.272679601054904,0.0,0.0,0.0,0.0,0.0,0.0,-64.75167219078926,-65.14227728803337,-65.19258372199857,-90.10475260683597,-88.75073076304622,-62.272679601054904,-62.272679601054904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.35626262148712,-79.0381873508658,-79.11707685719483
