BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,VRE_Storage_Discharge,VRE_Storage_Charge
t24,196.89259576175021,35.000023085115956,-87.42277819161575,0.0,0.0,0.0,4.7252150610930835e-11,0.0,0.0,-87.0,64.00176636637964,-62.079602618341035
t25,196.66335132162047,59.999997207485876,-72.41961807186051,0.0,0.0,0.0,4.725215041504227e-11,0.0,0.0,-82.0,65.16768602545463,-63.24868000927163
t26,196.4898696186305,25.000003412341712,-99.42079926354333,0.0,0.0,0.0,4.7252150441854575e-11,0.0,0.0,-75.0,64.00087814139798,-62.0806920557447
t27,196.4155199266154,60.00000083500056,-82.40971460022382,0.0,0.0,0.0,4.7252150111841545e-11,0.0,0.0,-72.0,65.16338132132225,-63.25428094529643
t28,196.2172545061971,30.00000130643199,-104.41234510349418,0.0,0.0,0.0,4.7252150261207015e-11,0.0,0.0,-70.0,63.99707053188345,-62.08533878946541
t29,196.06236001504374,64.81617929335187,-82.40451990756262,0.0,0.0,0.0,4.725214995987874e-11,0.0,0.0,-72.0,65.1611186028941,-63.25721331197013
t30,195.86409466014004,35.30696542742581,-96.41415277878764,0.0,0.0,0.0,4.725215027548628e-11,0.0,0.0,-78.0,63.997875517909684,-62.08433758643719
t31,195.87963880082802,126.32411729859021,-56.281097682396336,0.0,0.0,0.0,4.717028416419965e-11,0.0,0.0,-94.0,63.372557615691015,-65.59159265135871
t32,199.67551377341687,40.000000642509804,-69.42356062715406,0.0,0.0,0.0,4.7252150570195596e-11,0.0,0.0,-105.0,64.0020953707366,-62.07914919388857
t33,209.14872366514774,100.00000153697499,-48.404142050016894,0.0,0.0,0.0,4.7252149792357884e-11,0.0,0.0,-106.0,65.16090733486902,-63.257377656601406
t34,213.99221949444075,40.00000069544657,-76.79376768264962,0.0,0.0,0.0,4.725215038956578e-11,0.0,0.0,-107.0,64.00060479872408,-62.080929239655205
t35,216.36450588057863,129.17411753938285,-53.43109853627825,0.0,0.0,0.0,4.70747480841448e-11,0.0,0.0,-102.0,63.372525453262014,-65.59155873349496
t36,217.6235527036308,64.99999973345442,-83.59967403209974,0.0,0.0,0.0,4.7252149929609824e-11,0.0,0.0,-104.0,64.02315771756112,-62.05999661957398
t37,219.83594334156516,119.43489804057396,-58.10109517200835,0.0,0.0,0.0,4.7241977321897194e-11,0.0,0.0,-103.0,64.33121573738995,-64.33025247581077
t38,221.06772474626763,40.00000371648193,-86.99157011043923,0.0,0.0,0.0,4.7252149933350076e-11,0.0,0.0,-104.0,63.99707869842949,-62.08521484687179
t39,220.148122871384,120.13489310764356,-57.40109914296215,0.0,0.0,0.0,4.724502882992712e-11,0.0,0.0,-105.0,64.33122861951293,-64.33026544342869
t40,215.4063601384086,50.000000181140265,-83.30651115553673,0.0,0.0,0.0,4.725214982986773e-11,0.0,0.0,-103.0,63.994393914376104,-62.08849834702706
t41,197.96134143148825,129.9999997673146,-47.229961432603474,0.0,0.0,0.0,4.725214589590468e-11,0.0,0.0,-106.0,64.66481395011834,-63.90546706123405
t42,194.83559456842727,69.9999999352212,-65.4381723324591,0.0,0.0,0.0,4.7252149894400545e-11,0.0,0.0,-109.0,64.02515519547073,-62.057597388847725
t43,194.84798596831354,135.06921949538122,-47.53284059054851,0.0,0.0,0.0,4.725207547908374e-11,0.0,0.0,-105.0,64.36178597373745,-64.29956155418823
t44,194.82939913811882,69.99999990267702,-68.43044307817014,0.0,0.0,0.0,4.7252149629995034e-11,0.0,0.0,-106.0,64.02168837122413,-62.061861882400514
t45,194.8975520367889,129.2551584450129,-48.281097991015436,0.0,0.0,0.0,4.717285638645404e-11,0.0,0.0,-102.0,63.372558710925965,-65.59159392081139
t46,195.17016678886307,65.00000194173174,-72.41424223590833,0.0,0.0,0.0,4.7252149213695046e-11,0.0,0.0,-102.0,64.01440032116619,-62.07077381608704
t47,195.49234764697135,124.32459859656277,-58.28061646059821,0.0,0.0,0.0,4.7165019135567294e-11,0.0,0.0,-92.0,63.37209124209515,-65.59209030143157
t48,195.7897456875055,43.86390333093786,-86.50061532975995,0.0,0.0,0.0,4.7225728269913006e-11,0.0,0.0,-86.0,63.13724896962547,-63.13724887693359
t49,196.11192626880637,79.26133051940857,-74.50061492961467,0.0,0.0,0.0,4.721977926438952e-11,0.0,0.0,-78.0,64.33083533876788,-64.3308353064422
t50,196.47747826606295,39.08158138363443,-100.50061290758765,0.0,0.0,0.0,4.7219779491542044e-11,0.0,0.0,-72.0,63.13725606923869,-63.137256026047524
t51,196.69433059841487,58.78784087401398,-80.50061655728615,0.0,0.0,0.0,4.721977861742586e-11,0.0,0.0,-72.0,64.3308436883253,-64.33084367321074
t52,196.75628823467562,52.67008485537833,-102.50061604907216,0.0,0.0,0.0,4.721977806917263e-11,0.0,0.0,-70.0,63.137256191659546,-63.13725615657387
t53,196.76248395832562,98.03537800582825,-79.50061594338196,0.0,0.0,0.0,4.720701574022165e-11,0.0,0.0,-73.0,64.33083843242434,-64.3308385204048
t54,196.93596610047877,65.00000049104061,-92.53061730988153,0.0,0.0,0.0,4.721977694179273e-11,0.0,0.0,-80.0,63.16724255994326,-63.107242734802014
t55,197.35416084164052,129.32460159045897,-53.28061446403311,0.0,0.0,0.0,4.6964616185676955e-11,0.0,0.0,-97.0,63.372078886771746,-65.59207880944521
t56,201.0221713988046,41.27214722723707,-62.25061542364517,0.0,0.0,0.0,4.701527736064781e-11,0.0,0.0,-108.0,62.1177959002806,-64.39779569931963
t57,210.82261753205503,15.887218475621367,-53.31528534846696,0.0,0.0,0.0,4.7038274186674294e-11,0.0,0.0,-102.0,63.00147744158296,-65.28147727579314
t58,215.78603834451002,7.731466729475059e-7,-89.92720657193983,0.0,0.0,0.0,4.6910479475785475e-11,0.0,0.0,-89.0,62.11761659694078,-64.39761650165755
t59,218.8542640761818,2.246561815938419e-6,-72.40063853054741,0.0,0.0,0.0,4.691047886661734e-11,0.0,0.0,-83.0,63.34121972085608,-65.62121963982408
t60,220.7951486173934,1.6411762273799126e-6,-158.51514607731627,0.0,0.0,0.0,4.6910477439866894e-11,0.0,0.0,-70.0,60.781588668702746,-63.06158858934531
t61,223.0389385550863,1.574286441515505e-6,-159.75893911146,0.0,0.0,0.0,4.6910477248506867e-11,0.0,0.0,-66.0,60.78086742852,-63.06086734486417
t62,224.557360485693,1.5751097492166472e-6,-167.2773609157141,0.0,0.0,0.0,4.6910476980763056e-11,0.0,0.0,-65.0,60.7816020040164,-63.061601919076026
t63,224.26083317677498,1.5876339262664582e-6,-155.98083312337508,0.0,0.0,0.0,4.691047723565236e-11,0.0,0.0,-71.0,60.78085559153878,-63.06085550796492
t64,219.39143256418353,1.5200703980766286e-6,-147.1114335321139,0.0,0.0,0.0,4.691047735187313e-11,0.0,0.0,-80.0,60.78163448111657,-63.061634398716464
t65,202.40756061495753,87.2123877770975,-62.25061510337319,0.0,0.0,0.0,4.691047762504876e-11,0.0,0.0,-88.0,63.341937055987714,-65.62193693976931
t66,199.40808514258097,70.00000054046137,-71.59138383423223,0.0,0.0,0.0,4.6910477757424685e-11,0.0,0.0,-99.0,62.11777371280009,-64.39777355967726
t67,199.23460324790582,135.06922010133968,-47.250615792612024,0.0,0.0,0.0,4.691047137843364e-11,0.0,0.0,-103.0,63.34195665298849,-65.62195650416476
t68,199.11068759380518,70.00000047296254,-71.29398643252654,0.0,0.0,0.0,4.691047777705906e-11,0.0,0.0,-99.0,62.11778781897674,-64.39778767318712
t69,199.0053590691453,130.00000467867886,-49.25061589604237,0.0,0.0,0.0,4.691047677088791e-11,0.0,0.0,-101.0,63.34198688256977,-65.62198675876475
t70,198.86905170331423,40.00000107137735,-67.25061568755149,0.0,0.0,0.0,4.6910479023972245e-11,0.0,0.0,-103.0,62.117792633768886,-64.39779252741987
t71,198.88763906312312,127.35460090845609,-55.250615075699265,0.0,0.0,0.0,4.681828629465342e-11,0.0,0.0,-95.0,63.34203750710513,-65.62203740315039
t72,198.83187693298308,40.00000100935129,-82.25061642378937,0.0,0.0,0.0,4.6910477976190395e-11,0.0,0.0,-88.0,62.11779898046509,-64.39779887999399
