CAISO_Advanced_CCGT_candidate,CAISO_Aero_CT_candidate,CAISO_Reciprocating_Engine_candidate,CAISO_Shed_DR_Tranche1,CAM_CAM_RA_i,CAM_CAM_RA_ii,CAM_CAM_RA_iii,CAM_CPE_RA_i,CAM_CPE_RA_ii,CAM_DR_RA,FishLake,Generic_RA_Only,Greater_Imperial_Geothermal,InState_Biomass,Leapfrog_Power,Northern_California_Geothermal,Ormat_Portfolio,Southern_Nevada_Geothermal,Tierra_Buena,Aquamarine_Westside,Arizona_Solar,Humboldt_Bay_Offshore_Wind,IndianValley_Hydro,Morro_Bay_Offshore_Wind,NW_Ext_Tx_Wind,New_Mexico_Wind,Northern_California_Solar,Northern_California_Wind,Riverside_Palm_Springs_Wind,Riverside_Solar,Wyoming_Wind,Arizona_Li_Battery,CAISO_New_Flow_Battery,CAISO_New_Flow_Battery_12,CAISO_New_Flow_Battery_8,CAISO_New_LDES_Battery_12,CC_Power_GoalLine,CC_Power_Tumbleweed,Generic_4hr_battery_low_cost,Generic_6hr_battery,Generic_6hr_battery_low_cost,Generic_8hr_battery,Generic_8hr_battery_low_cost,Northern_California_Li_Battery,Riverside_Li_Battery,Riverside_West_Pumped_Storage,Tehachapi_Pumped_Storage,GibsonSolar,PutahCreek,Resurgence_Hybrid,WillowSpringsSolar
2.01E-09,1.01E-09,2.25E-09,1.89E-09,0,0,0,0,0,0,0,3.74E-10,2.90E-07,4.56E-08,0,2.93E-07,0,6.85E-07,0,9.999999985,6.495263862,5.40E-08,0.066699985,2.78E-08,6.93E-08,7.50E-09,2.63E-06,2.174721236,9.999999974,9.999999985,2.38E-08,9.999999993,6.84E-08,6.84E-08,6.84E-08,2.72E-08,0,0,9.999999969,9.999999905,9.999999932,9.999999688,9.999999855,9.999999993,9.999999993,5.07E-08,5.07E-08,0,1.499999963,9.999999985,9.999999985
2.03E-09,1.01E-09,2.27E-09,1.91E-09,0,0,0,0,0,0,0,3.75E-10,2.92E-07,4.66E-08,0,2.94E-07,0,6.87E-07,0,4.999999987,4.999999987,5.51E-08,0.066699987,2.86E-08,7.53E-08,1.10E-08,2.56E-06,1.970260265,4.999999987,4.999999987,3.00E-08,4.999999994,1.07E-07,1.07E-07,1.07E-07,3.26E-08,0,0,4.999999976,4.99999995,4.999999958,4.99999992,4.999999938,4.999999994,4.999999994,1.05E-07,1.05E-07,0,1.499999992,4.999999987,4.999999987
1.91E-09,9.80E-10,2.13E-09,1.80E-09,0,0,0,0,0,0,0,3.71E-10,2.78E-07,4.02E-08,0,2.81E-07,0,6.72E-07,0,9.999999972,6.765899843,4.77E-08,0.066699972,2.54E-08,7.39E-08,1.10E-08,2.77E-06,2.038413907,9.999999948,9.999999972,2.79E-08,9.999999974,2.82E-08,2.82E-08,2.82E-08,1.68E-08,0,0,9.19E-06,8.33E-08,1.04E-07,6.09E-08,7.05E-08,9.999999974,9.999999974,1.66E-08,1.66E-08,0,1.499999874,9.999999972,9.999999972
1.97E-09,9.98E-10,2.20E-09,1.86E-09,0,0,0,0,0,0,0,3.73E-10,2.88E-07,4.43E-08,0,2.90E-07,0,6.83E-07,0,4.999999982,4.999999982,5.25E-08,0.066699982,2.90E-08,8.90E-08,1.21E-08,2.78E-06,2.001239196,4.999999982,4.999999982,3.36E-08,4.99999999,4.82E-08,4.82E-08,4.82E-08,2.29E-08,0,0,4.999999954,4.999997405,4.999999777,2.81E-07,6.08E-07,4.99999999,4.99999999,3.17E-08,3.17E-08,0,1.49999994,4.999999982,4.999999982
1.99E-09,1.00E-09,2.22E-09,1.88E-09,0,0,0,0,0,0,0,3.74E-10,2.89E-07,4.52E-08,0,2.92E-07,0,6.84E-07,0,9.999999984,5.561569678,5.36E-08,0.066699984,2.84E-08,9.96E-08,1.26E-08,2.52E-06,2.007434985,9.999999973,9.999999984,3.53E-08,9.999999992,6.06E-08,6.06E-08,6.06E-08,2.57E-08,0,0,9.999999965,9.999999864,9.999999913,9.999976938,9.999999731,9.999999992,9.999999992,4.29E-08,4.29E-08,0,1.499999956,9.999999984,9.999999984
2.06E-09,1.02E-09,2.20E-09,1.99E-09,0,0,0,0,0,0,0,3.78E-10,2.94E-07,4.86E-08,0,2.97E-07,0,6.90E-07,0,4.99999999,3.917456015,5.73E-08,0.06669999,2.60E-08,1.13E-07,1.67E-08,1.78E-06,2.26146226,4.99999999,4.99999999,4.42E-08,4.999999996,4.999999839,4.999999839,4.999999839,6.13E-08,0,0,4.999999985,4.999999977,4.999999979,4.999999973,4.999999975,4.999999996,4.999999996,4.999999966,4.999999966,0,1.529999762,4.99999999,4.99999999
1.43E-09,8.32E-10,1.37E-09,1.95E-09,0,0,0,0,0,0,0,3.76E-10,2.93E-07,4.77E-08,0,2.96E-07,0,6.89E-07,0,2.55,0.635994574,5.63E-08,0.066699989,2.05E-08,1.18E-07,1.53E-08,5.48E-07,2.552664249,9.999999981,9.999999989,4.50E-08,9.999999995,3.21E-07,3.21E-07,3.21E-07,4.25E-08,0,0,9.999999981,9.999999968,9.999999972,9.999999959,9.999999964,9.999999995,9.999999995,9.999998935,9.999998935,0,1.500000105,9.999999989,9.999999989
0,0,0,1.99E-09,0,0,0,0,0,0,0,3.78E-10,2.94E-07,4.86E-08,0,2.97E-07,0,6.90E-07,0,0,0,5.73E-08,0.06669999,1.90E-08,1.26E-07,1.44E-08,0,2.843866242,4.99999999,4.99999999,5.25E-08,4.999999996,4.999999854,4.999999854,4.999999854,6.27E-08,0,0,4.999999985,4.999999977,4.999999979,4.999999973,4.999999975,4.999999996,4.999999996,4.999999967,4.999999967,0,1.529999778,4.99999999,4.99999999
0,0,0,2.03E-09,0,0,0,0,0,0,0,3.80E-10,2.96E-07,5.01E-08,0,2.99E-07,0,6.92E-07,0,0,0,5.89E-08,0.066699992,2.04E-08,1.38E-07,1.88E-08,0,2.955390411,9.999999988,9.999999992,6.43E-08,9.999999995,8.381842439,9.041009807,8.612044616,9.89E-08,0,0,9.999999983,9.999999973,9.999999976,9.999999967,9.999999971,9.999999995,9.999999995,9.999999761,9.999999761,0,1.500482619,9.999999992,9.999999992
0,0,0,2.02E-09,0,0,0,0,0,0,0,3.79E-10,2.95E-07,4.93E-08,0,2.98E-07,0,6.91E-07,0,0,0,5.81E-08,0.066699991,2.20E-08,1.48E-07,2.10E-08,0,3.011152493,4.999999991,4.999999991,7.73E-08,4.999999996,4.999999943,4.999999943,4.999999943,1.00E-07,0,0,4.999999987,4.999999982,4.999999983,4.999999979,4.999999981,4.999999996,4.999999996,4.999999981,4.999999981,0,1.529999879,4.999999991,4.999999991
