region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Inv_cost_charge_MW,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Fixed_OM_cost_charge_MW,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,CO2SequestrationCost,EnergyRevenue,SubsidyRevenue,OperatingReserveRevenue,OperatingRegulationRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
CCA,NW_Ext_Tx_Wind,1,1,18,6.524020913311511,0.0,0.0,3.1368582769321596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.391100859267535,0.0,0.0,0.0,2.24637337501855,3.715059571071959e-9,0.0,0.0,9.391100859267535,9.660879190243671,-0.2697783309761359
CCA,New_Mexico_Wind,1,1,19,10.84128745827773,0.0,0.0,3.285326104758191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.967072126904046,0.0,0.0,0.0,1.1764806533814398,5.5042105737864215e-9,0.0,0.0,13.967072126904046,14.12661356303592,-0.15954143613187455
CCA,Northern_California_Solar,1,1,20,42.90741745494065,0.0,0.0,22.678003068875782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.56002506220196,0.0,0.0,0.0,8.448160409745154e-5,1.0521465986242232e-7,0.0,0.0,76.56002506220196,65.58542052381642,10.974604538385535
CCA,Northern_California_Wind,1,1,21,5.0741683856645095,0.0,0.0,3.435174155431502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.099978135304333,0.0,0.0,0.0,3.6452035324673524,3.9141421528152994e-9,0.0,0.0,10.099978135304333,8.50934254109601,1.5906355942083223
CCA,Riverside_Palm_Springs_Wind,1,1,22,3.5920353966878023,0.0,0.0,2.8646001364563323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.553877730799398,0.0,0.0,0.0,2.0156635447469875,3.567468653596375e-9,0.0,0.0,8.553877730799398,6.4566355331441345,2.0972421976552633
CCA,Riverside_Solar,1,1,23,1.649803180157332e6,0.0,0.0,1.100879943619632e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.83987961201977e6,0.0,0.0,0.0,4.607248180715271,0.006816023194475329,0.0,0.0,4.83987961201977e6,2.750683123776964e6,2.089196488242806e6
CCA,Wyoming_Wind,1,1,24,12.013722132879767,0.0,0.0,3.331600788969126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.146589639811747,0.0,0.0,0.0,3.3459843629649355,5.973835655555738e-9,0.0,0.0,15.146589639811747,15.345322921848894,-0.19873328203714635
CCA,Arizona_Li_Battery,1,1,25,344083.8184844522,1.720652788025356e6,0.0,105410.19943426945,489867.92945077596,0.0,0.0,0.0,0.0,0.0,626387.4745863546,0.0,3.2319921738785887e6,0.0,0.0,0.0,2.0399243375589217e6,0.0,0.0,0.0,3.2319921738785887e6,3.286402209981208e6,-54410.03610261949
CCA,CAISO_New_Flow_Battery,1,1,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCA,CAISO_New_Flow_Battery_12,1,1,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCA,CAISO_New_Flow_Battery_8,1,1,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCA,CAISO_New_LDES_Battery_12,1,1,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCA,CC_Power_GoalLine,1,1,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCA,CC_Power_Tumbleweed,1,1,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCA,Generic_4hr_battery_low_cost,1,1,32,244.7756724434673,1210.4686090922894,0.0,95.85303521372923,445.4533635618605,0.0,0.0,0.0,0.0,0.0,744.569760700095,0.0,3007.6513940689088,0.0,0.0,0.0,1855.0846344668394,0.0,0.0,0.0,3007.6513940689088,2741.1204410114415,266.5309530574673
CCA,Generic_6hr_battery,1,1,33,1077.0817709987753,8079.2105846329105,0.0,329.9643813186967,2300.142241499448,0.0,0.0,0.0,0.0,0.0,3341.9614007223945,0.0,14723.592870559787,0.0,0.0,0.0,6385.668532241521,0.0,0.0,0.0,14723.592870559787,15128.360379172223,-404.76750861243636
CCA,Generic_6hr_battery_low_cost,1,1,34,47716.047241757034,353949.2513259344,0.0,18685.38613689414,130253.59216177641,0.0,0.0,0.0,0.0,0.0,179999.34917423673,0.0,828996.2388198462,0.0,0.0,0.0,361604.3725160943,0.0,0.0,0.0,828996.2388198462,730603.6260405987,98392.61277924746
CCA,Generic_8hr_battery,1,1,35,267.5275407792974,2675.638807677701,0.0,81.95715669488725,761.7513840078138,0.0,0.0,0.0,0.0,0.0,1246.7776123273404,0.0,4729.1283252775875,0.0,0.0,0.0,1586.174202258103,0.0,0.0,0.0,4729.1283252775875,5033.65250148704,-304.5241762094529
CCA,Generic_8hr_battery_low_cost,1,1,36,41883.25722408412,414243.5202828486,0.0,16401.292209678326,152441.92873541254,0.0,0.0,0.0,0.0,0.0,228823.5560329708,0.0,940105.8812251268,0.0,0.0,0.0,317402.0903357634,0.0,0.0,0.0,940105.8812251268,853793.5544849944,86312.32674013241
CCA,Northern_California_Li_Battery,1,1,37,344083.8184844522,1.720652788025356e6,0.0,105410.19943426945,489867.92945077596,0.0,0.0,0.0,0.0,0.0,626387.4745863546,0.0,3.2319921738785887e6,0.0,0.0,0.0,2.0399243375589217e6,0.0,0.0,0.0,3.2319921738785887e6,3.286402209981208e6,-54410.03610261949
CCA,Riverside_Li_Battery,1,1,38,344083.8184844522,1.720652788025356e6,0.0,105410.19943426945,489867.92945077596,0.0,0.0,0.0,0.0,0.0,626387.4745863546,0.0,3.2319921738785887e6,0.0,0.0,0.0,2.0399243375589217e6,0.0,0.0,0.0,3.2319921738785887e6,3.286402209981208e6,-54410.03610261949
CCA,Riverside_West_Pumped_Storage,1,1,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCA,Tehachapi_Pumped_Storage,1,1,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCA,FishLake,1,1,41,0.0,0.0,0.0,246960.12000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319873.6715791852,0.0,0.0,0.0,54469.004672199044,0.0001594352591675987,0.0,0.0,319873.6715791852,246960.12000000002,72913.55157918515
CCA,Greater_Imperial_Geothermal,1,1,42,0.002464976144425012,0.0,0.0,0.001052761102577648,0.0,0.0,8.217496531295707e-5,0.0,0.0,0.0,0.0,0.0,0.006882202218840058,0.0,0.0,0.0,0.0011719210992337586,3.4303094999581687e-12,0.0,0.0,0.006882202218840058,0.003599912212315617,0.0032822900065244405
CCA,InState_Biomass,1,1,43,0.0017462460532847368,0.0,0.0,0.0008352063723016256,0.0,0.0,6.171680534157593e-5,0.0,0.0,0.0,0.0,0.0,0.0036348470177395504,0.0,0.0,0.0,0.0006189521576269277,1.8117239016480272e-12,0.0,0.0,0.0036348470177395504,0.002643169230927938,0.0009916777868116122
CCA,Northern_California_Geothermal,1,1,44,0.0024631404177321574,0.0,0.0,0.0010524224091585132,0.0,0.0,8.219926145129936e-5,0.0,0.0,0.0,0.0,0.0,0.006884237034876272,0.0,0.0,0.0,0.001172267593534578,3.431323717291276e-12,0.0,0.0,0.006884237034876272,0.0035977620883419696,0.003286474946534302
CCA,Ormat_Portfolio,1,1,45,0.0,0.0,0.0,2.7523800999999996e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.678547223160632e6,0.0,0.0,0.0,626393.5537302879,0.001833505480427529,0.0,0.0,3.678547223160632e6,2.7523800999999996e6,926167.1231606323
CCA,Southern_Nevada_Geothermal,1,1,46,0.002150847865701327,0.0,0.0,0.0009438335578701218,0.0,0.0,7.654680535284265e-5,0.0,0.0,0.0,0.0,0.0,0.006410840474810037,0.0,0.0,0.0,0.001091656271837634,3.195367744827053e-12,0.0,0.0,0.006410840474810037,0.0031712282289242917,0.003239612245885745
CCA,IndianValley_Hydro,1,1,47,0.0,0.0,0.0,289377.07999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,471196.9371793176,0.0,0.0,0.0,122813.95623175208,0.0002933539379765533,0.0,0.0,471196.9371793176,289377.07999999996,181819.85717931762
CCA,GibsonSolar,1,1,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCA,PutahCreek,1,1,49,0.0,0.0,0.0,695635.8,0.0,0.0,0.0,0.0,0.0,0.0,694001.7740663094,0.0,969621.5147895073,0.0,0.0,0.0,7901.315140183535,0.0,0.0,0.0,969621.5147895073,1.3896375740663095e6,-420016.05927680223
CCA,Resurgence_Hybrid,1,1,50,0.0,0.0,0.0,1.2670371e7,0.0,0.0,0.0,0.0,0.0,0.0,2.054435202339966e7,0.0,2.9577174821607675e7,0.0,0.0,0.0,197526.1657106001,0.0,0.0,0.0,2.9577174821607675e7,3.321472302339966e7,-3.637548201791983e6
CCA,WillowSpringsSolar,1,1,51,0.0,0.0,0.0,9.3854304e6,0.0,0.0,0.0,0.0,0.0,0.0,1.6634259832583653e7,0.0,2.359765761978802e7,0.0,0.0,0.0,94815.24117300741,0.0,0.0,0.0,2.359765761978802e7,2.6019690232583653e7,-2.4220326127956323e6
