Resource,CAISO_Advanced_CCGT_candidate,CAISO_Aero_CT_candidate,CAISO_Reciprocating_Engine_candidate,CAISO_Shed_DR_Tranche1,CAM_CAM_RA_i,CAM_CAM_RA_ii,CAM_CAM_RA_iii,CAM_CPE_RA_i,CAM_CPE_RA_ii,CAM_DR_RA,Generic_RA_Only,Leapfrog_Power,Tierra_Buena,Aquamarine_Westside,Arizona_Solar,Humboldt_Bay_Offshore_Wind,Morro_Bay_Offshore_Wind,NW_Ext_Tx_Wind,New_Mexico_Wind,Northern_California_Solar,Northern_California_Wind,Riverside_Palm_Springs_Wind,Riverside_Solar,Wyoming_Wind,Arizona_Li_Battery,CAISO_New_Flow_Battery,CAISO_New_Flow_Battery_12,CAISO_New_Flow_Battery_8,CAISO_New_LDES_Battery_12,CC_Power_GoalLine,CC_Power_Tumbleweed,Generic_4hr_battery_low_cost,Generic_6hr_battery,Generic_6hr_battery_low_cost,Generic_8hr_battery,Generic_8hr_battery_low_cost,Northern_California_Li_Battery,Riverside_Li_Battery,Riverside_West_Pumped_Storage,Tehachapi_Pumped_Storage,FishLake,Greater_Imperial_Geothermal,InState_Biomass,Northern_California_Geothermal,Ormat_Portfolio,Southern_Nevada_Geothermal,IndianValley_Hydro,GibsonSolar,PutahCreek,Resurgence_Hybrid,WillowSpringsSolar,Total
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005428125049570895,0.0,0.0,0.0,0.0,0.0,0.0,0.0016522215796148769,0.010042484086015348,0.16291797815792525,0.011588476131367672,2.3308301075855846,0.0005428125049570895,0.0005428125049570895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9703855388326057,11.055760827899672,8.198431325143753,22.743237396931406
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022107546257011932,0.0,0.0,0.0,0.0,0.0,0.0,0.008674602639061191,0.0449187704108404,2.653622667954746,0.011592522977939248,2.330834079251673,0.0022107546257011932,0.0022107546257011932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9775192166903806,9.559734006752466,5.245951282919439,20.839479413473647
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.664473760599502,0.0,0.0,0.0,0.0,0.0,0.0,0.009001929358356649,0.04601864188595723,2.6546865878258643,0.011593378041943037,2.330834933731746,6.664473760599502,6.664473760599502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0136715471204927,10.197920126151482,5.861420373830322,42.118568799744665
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.978103148520646,0.0,0.0,0.0,0.0,0.0,0.0,0.01104508147311573,0.046193367462075,2.6548433114460797,0.011593812486665406,2.330835365720909,14.978103148520646,14.978103148520646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9789528159736139,11.636008223960511,6.427110832801957,69.03089225688686
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.979531450113816,0.0,0.0,0.0,0.0,0.0,0.0,0.011853449187581465,0.04629245978722008,2.6549321095317606,0.0115942733698116,2.3308358154335855,14.979531450113816,14.979531450113816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8956525229829814,11.476452597083544,6.505609716503052,68.87181729422099
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.979685092357006,0.0,0.0,0.0,0.0,0.0,0.0,0.012033325337372858,0.04632652746185377,2.6549631490944234,0.011594433701084693,2.3308359744532923,14.979685092357006,14.979685092357006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9703999184392242,10.89735854936242,5.648312829850199,67.51087998477088
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.976232252946629,0.0,0.0,0.0,0.0,0.0,0.0,0.010505247944704688,0.04621527251517964,2.654866665236376,0.011593486729767804,2.330835071485112,14.976232252946629,14.976232252946629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9718191869558198,11.956390927360037,4.827072482145857,67.73799509921274
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007395793454330887,0.0,0.0,0.0,0.0,0.0,0.0,0.0015292396037804436,0.04557210607652796,2.6543446575005802,0.011591172884238594,2.3308328589812586,0.0007395793454330887,0.0007395793454330887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0005512936108083,14.763098739952964,9.757264105881859,30.567002912528316
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.802421524429124e-5,0.0,0.0,0.0,0.0,0.0,0.0,7.384937745767535e-5,7.509148385928696e-5,7.505802633421946e-5,7.085655487881122e-5,7.486064542187729e-5,3.802421524429124e-5,3.802421524429124e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9713447263746747,26.507252806531422,21.613941723306645,49.09302304494643
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.778804229393458e-5,0.0,0.0,0.0,0.0,0.0,0.0,7.469765784344299e-5,7.500505603550598e-5,7.50391321840455e-5,7.130813584596785e-5,7.481231541125477e-5,3.778804229393458e-5,3.778804229393458e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9713464968685194,29.283453117801717,23.65545334582982,53.91073718692426
