BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,VRE_Storage_Discharge,VRE_Storage_Charge,Market_Buy,Market_Sell,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,VRE_Storage_Discharge,VRE_Storage_Charge,Market_Buy,Market_Sell
t36,70.91637877301115,0.0008063696212558415,-49.98931884316612,0.0,0.0,0.0,5.934408486431425e-7,-7.042344129471151,-0.0,-104.0,110.63059023469984,-20.5160904263815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.042344129471151,-0.0,-0.0,0.0,0.0,7.042344129471151,0.0
t37,72.6164259311542,0.000664224238053231,-49.993375896706766,0.0,0.0,0.0,5.93294231361423e-7,-8.412429055747047,-0.0,-103.0,109.60741260377674,-20.818675828241687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.412429055747047,-0.0,-0.0,0.0,0.0,8.412429055747047,0.0
t38,72.16657412108542,0.0006942247993304345,-49.99311445456537,0.0,0.0,0.0,5.933272127686601e-7,-10.867620473688062,-0.0,-104.0,112.3571853696877,-19.66370132069011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.867620473688062,-0.0,-0.0,0.0,0.0,10.867620473688062,0.0
t39,63.368437772724164,0.0010331057259913103,-49.98397254692931,0.0,0.0,0.0,5.935709088702892e-7,-2.3496077701492566,-0.0,-105.0,113.38419810734317,-19.420066690544754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3496077701492566,-0.0,-0.0,0.0,0.0,2.3496077701492566,0.0
t40,51.93822853166393,0.0018000440480563477,-5.045206758810495,0.0,0.0,0.0,5.942631990188144e-7,-18.97634773315738,-0.0,-103.0,100.1869863710013,-25.105442989039005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.97634773315738,-0.0,-0.0,0.0,0.0,18.97634773315738,0.0
t41,23.03724595080486,17.298792149111854,-0.00048142366978648715,0.0,0.0,0.0,6.213639181426783e-7,49.99998563714674,-0.0,-106.0,63.21250121761041,-47.54802609243552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.99998563714674,-0.0,-0.0,0.0,0.0,0.0,49.99998563714674
t42,16.63894554885261,40.157700456673986,-0.00048222339203895365,0.0,0.0,0.0,6.21377732691715e-7,49.999988395520845,-0.0,-109.0,56.1141308527704,-53.91026503087441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.999988395520845,-0.0,-0.0,0.0,0.0,0.0,49.999988395520845
t43,19.888942972950254,32.90770422182442,-0.0004834637428997134,0.0,0.0,0.0,6.213652174729673e-7,49.99998877818356,-0.0,-105.0,56.11421977114991,-53.910354280749935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.99998877818356,-0.0,-0.0,0.0,0.0,0.0,49.99998877818356
t44,23.1389297565175,30.65771725546558,-0.00048365695815987805,0.0,0.0,0.0,6.213584098045722e-7,49.999989231564726,-0.0,-106.0,56.114270183079306,-53.91040477005834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.999989231564726,-0.0,-0.0,0.0,0.0,0.0,49.999989231564726
t45,26.388866967442944,23.40777998492247,-0.0004836819093036241,0.0,0.0,0.0,6.213469136610642e-7,49.999984984228256,-0.0,-102.0,56.11429385367205,-53.910428620479365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.999984984228256,-0.0,-0.0,0.0,0.0,0.0,49.999984984228256
t46,29.6387017675233,20.157944582946595,-0.0004831513634588135,0.0,0.0,0.0,6.213416047230073e-7,49.99998969009819,-0.0,-102.0,56.11430524230133,-53.910440131831905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.99998969009819,-0.0,-0.0,0.0,0.0,0.0,49.99998969009819
t47,32.431049193884306,7.3655972668169305,-0.00048300565208626563,0.0,0.0,0.0,6.213275104497071e-7,49.99998544965993,-0.0,-92.0,56.11430491526172,-53.91044033193408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.99998544965993,-0.0,-0.0,0.0,0.0,0.0,49.99998544965993
t48,33.794631996776836,0.0024596650376163404,-0.000650526350223078,0.0,0.0,0.0,6.201961573195947e-7,49.99998949547808,-0.0,-86.0,56.11410779696442,-53.91052042688514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.99998949547808,-0.0,-0.0,0.0,0.0,0.0,49.99998949547808
t49,30.51950659377585,0.0007094411587526145,-4.722100005259535,0.0,0.0,0.0,6.180326992069614e-7,49.99998142725098,-0.0,-78.0,56.112902523080194,-53.910986488491474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.99998142725098,-0.0,-0.0,0.0,0.0,0.0,49.99998142725098
t50,27.269968305515476,0.0006977686687208959,-7.472526555146934,0.0,0.0,0.0,6.179881735742214e-7,49.99998413750168,-0.0,-72.0,56.11284806641456,-53.91095823131694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.99998413750168,-0.0,-0.0,0.0,0.0,0.0,49.99998413750168
t51,24.02070053686947,0.0007042636214728927,-4.223274701308339,0.0,0.0,0.0,6.179950140883397e-7,49.99998433821206,-0.0,-72.0,56.112848870784845,-53.91094981655088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.99998433821206,-0.0,-0.0,0.0,0.0,0.0,49.99998433821206
t52,21.884200015458603,0.0007064797422941547,-4.08677419107836,0.0,0.0,0.0,6.179951138011223e-7,49.99998434168515,-0.0,-70.0,56.11281980780727,-53.91092296195972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.99998434168515,-0.0,-0.0,0.0,0.0,0.0,49.99998434168515
t53,20.57578261027116,0.22089530535875948,-0.0004920576668733072,0.0,0.0,0.0,6.211822619318129e-7,49.99999055613202,-0.0,-73.0,56.11419209198762,-53.910350505852506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.99999055613202,-0.0,-0.0,0.0,0.0,0.0,49.99999055613202
t54,17.3267835489136,10.469854337774562,-0.0004735275345668351,0.0,0.0,0.0,6.213064917648146e-7,49.99998589756047,-0.0,-80.0,56.114151955534695,-53.91028872403723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.99998589756047,-0.0,-0.0,0.0,0.0,0.0,49.99998589756047
t55,14.07785913542067,30.718774654753247,-0.0004691333708502793,0.0,0.0,0.0,6.213167850876494e-7,49.99998522573852,-0.0,-97.0,56.11405515565416,-53.910191550224845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.99998522573852,-0.0,-0.0,0.0,0.0,0.0,49.99998522573852
t56,15.785505816912497,19.854822190784617,-0.00028640924017010543,0.0,0.0,0.0,6.212956616191824e-7,49.99998524884103,-0.0,-108.0,66.93716222633293,-44.577172199426265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.99998524884103,-0.0,-0.0,0.0,0.0,0.0,49.99998524884103
t57,35.52354711826008,0.00016399969601834673,-2.541445083184216,0.0,0.0,0.0,5.949515971860128e-7,-12.962390438383395,-0.0,-102.0,104.90018524596238,-22.920043941713715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.962390438383395,-0.0,-0.0,0.0,0.0,12.962390438383395,0.0
t58,58.61673311956829,0.000947216662337508,-5.051109504231997,0.0,0.0,0.0,5.943342227445701e-7,-56.95255959894581,-0.0,-89.0,112.17787429195666,-19.791864111782253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.95255959894581,-0.0,-0.0,0.0,0.0,56.95255959894581,0.0
t59,66.31627706469234,0.000984730275415332,-49.97559502821073,0.0,0.0,0.0,5.940610523398574e-7,-27.43343520223176,-0.0,-83.0,113.40251155425004,-19.31072170519438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.43343520223176,-0.0,-0.0,0.0,0.0,27.43343520223176,0.0
t60,70.6658730519194,0.0007530476842360367,-49.99139994870434,0.0,0.0,0.0,5.938209788018009e-7,-37.323020950209425,-0.0,-70.0,108.14478579731511,-21.496969584009488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.323020950209425,-0.0,-0.0,0.0,0.0,37.323020950209425,0.0
t61,72.56551867030255,0.0006284860445802553,-49.99392698973,0.0,0.0,0.0,5.936460608792794e-7,-47.58311846273158,-0.0,-66.0,111.20741604512563,-20.196500846585394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.58311846273158,-0.0,-0.0,0.0,0.0,47.58311846273158,0.0
t62,72.26537993080497,0.0007062953355181007,-49.99290044906218,0.0,0.0,0.0,5.937501298936927e-7,-51.051636554056536,-0.0,-65.0,113.09847197767078,-19.319999786559165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.051636554056536,-0.0,-0.0,0.0,0.0,51.051636554056536,0.0
t63,67.81536240891161,0.0012441006243819816,-25.040626034271746,0.0,0.0,0.0,5.94096420358708e-7,-66.63361400513998,-0.0,-71.0,113.88050250742918,-19.0228475638469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.63361400513998,-0.0,-0.0,0.0,0.0,66.63361400513998,0.0
t64,52.813979572086424,0.0018485469230150459,-5.039337655012632,0.0,0.0,0.0,5.946874335416376e-7,-43.742829028303646,-0.0,-80.0,100.75053016179905,-24.784169620103256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.742829028303646,-0.0,-0.0,0.0,0.0,43.742829028303646,0.0
t65,21.53876804305264,1.5347454583678055,-0.0005163556779399876,0.0,0.0,0.0,6.193886550487443e-7,49.99998414492132,-0.0,-88.0,62.80448192710526,-47.87744577698794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.99998414492132,-0.0,-0.0,0.0,0.0,0.0,49.99998414492132
t66,11.906208167052464,34.89104986100373,-0.0005120409434445021,0.0,0.0,0.0,6.194451408009221e-7,49.99998226082703,-0.0,-99.0,56.11369130363697,-53.910406061757456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.99998226082703,-0.0,-0.0,0.0,0.0,0.0,49.99998226082703
t67,14.470672291344746,36.32658548281022,-0.00051248190803245,0.0,0.0,0.0,6.194442335716233e-7,49.99998727748875,-0.0,-103.0,56.113783377529344,-53.9104979457005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.99998727748875,-0.0,-0.0,0.0,0.0,0.0,49.99998727748875
t68,17.035072519375753,29.762185617648736,-0.0005129655527553434,0.0,0.0,0.0,6.194376513565762e-7,49.999983340280785,-0.0,-99.0,56.113835453966004,-53.91055047589219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.999983340280785,-0.0,-0.0,0.0,0.0,0.0,49.999983340280785
t69,19.599376645239758,29.197880938848797,-0.0005125286325417946,0.0,0.0,0.0,6.194400155449126e-7,49.99998354626986,-0.0,-101.0,56.113865391248225,-53.91058050317675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.99998354626986,-0.0,-0.0,0.0,0.0,0.0,49.99998354626986
t70,22.16351518481084,28.633741322014373,-0.0005116970201947718,0.0,0.0,0.0,6.194409222270927e-7,49.99998393915696,-0.0,-103.0,56.11387952353337,-53.910594782725546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.99998393915696,-0.0,-0.0,0.0,0.0,0.0,49.99998393915696
t71,24.727409734897613,18.069846484916734,-0.0005109886343246349,0.0,0.0,0.0,6.194293836232403e-7,49.99998867854415,-0.0,-95.0,56.113878271054006,-53.91059417909115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.99998867854415,-0.0,-0.0,0.0,0.0,0.0,49.99998867854415
t72,27.29098984540107,8.506266246220514,-0.0005098548766408657,0.0,0.0,0.0,6.194174874402468e-7,49.99998440850959,-0.0,-88.0,56.11387095794653,-53.9105881132075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.99998440850959,-0.0,-0.0,0.0,0.0,0.0,49.99998440850959
t73,24.792579097714196,0.0007578972130684279,-1.794761921652923,0.0,0.0,0.0,6.163149376424369e-7,49.99998685568559,-0.0,-73.0,54.9869752637792,-54.98551918764286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.99998685568559,-0.0,-0.0,0.0,0.0,0.0,49.99998685568559
t74,22.312967570141083,0.0007482673648451602,-4.315091053753654,0.0,0.0,0.0,6.16283679829594e-7,49.99998699060496,-0.0,-68.0,54.98688957628736,-54.98548334545042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.99998699060496,-0.0,-0.0,0.0,0.0,0.0,49.99998699060496
t75,19.866380052184752,0.0007531422501566808,-3.868503918776095,0.0,0.0,0.0,6.162764008121018e-7,49.99998290453192,-0.0,-66.0,54.98682547315511,-54.98542415991602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.99998290453192,-0.0,-0.0,0.0,0.0,0.0,49.99998290453192
t76,17.49911737419066,0.0007602145462536052,-2.501248256186986,0.0,0.0,0.0,6.162761895574347e-7,49.99998295599432,-0.0,-65.0,54.98675500514369,-54.985353800244695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.99998295599432,-0.0,-0.0,0.0,0.0,0.0,49.99998295599432
t77,15.498294982925662,0.00077419120354513,-0.5004678895817065,0.0,0.0,0.0,6.162850770876233e-7,49.9999873519001,-0.0,-65.0,54.986676851530405,-54.9852474827447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.9999873519001,-0.0,-0.0,0.0,0.0,0.0,49.9999873519001
t78,14.468215375997888,8.329031369085516,-0.0004958043006566049,0.0,0.0,0.0,6.193763154953583e-7,49.99998906117689,-0.0,-75.0,56.11370371491749,-53.910425714868914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.99998906117689,-0.0,-0.0,0.0,0.0,0.0,49.99998906117689
t79,12.05546679754471,25.74170659322386,-0.0004214927292123529,0.0,0.0,0.0,6.193855367091061e-7,49.999983741533875,-0.0,-90.0,56.113600821126575,-53.91032184191222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.999983741533875,-0.0,-0.0,0.0,0.0,0.0,49.999983741533875
