Resource,CAISO_Advanced_CCGT_candidate,CAISO_Aero_CT_candidate,CAISO_Reciprocating_Engine_candidate,Total
t64,4.0184477087240596e-8,3.1227502816980904e-7,7.03029093577094e-6,7.382750441027989e-6
t65,3.4108479891566254e-8,2.567897850177209e-7,5.256634399057565e-6,5.547532663966852e-6
t66,3.917992041079798e-8,3.1547229819907887e-7,7.78469111324474e-6,8.139343331854616e-6
t67,4.417411143011455e-8,3.5416037459156016e-7,1.0856883536655668e-5,1.1255218022677343e-5
t68,4.9403977451681344e-8,3.8174509251189496e-7,1.451171189289232e-5,1.4942860962855896e-5
t69,5.5380940567334256e-8,4.020797014462022e-7,1.9390490776449037e-5,1.9847951418462573e-5
t70,6.268689883371809e-8,4.182422692514994e-7,2.661587420557155e-5,2.709680337365677e-5
t71,7.188089352724098e-8,4.330378302870024e-7,3.914306223120309e-5,3.964798095501733e-5
t72,8.332813687254721e-8,4.494842167140272e-7,6.624434181352692e-5,6.67771541671135e-5
t73,9.893728865384067e-8,4.7201583814817963e-7,0.0001567204073027335,0.00015729136042953552
t74,1.108955655576573e-7,4.5297420261750476e-7,7.940436576333555e-5,7.996823553151072e-5
t75,1.2160421141882254e-7,4.4233327435023895e-7,5.6605974664400706e-5,5.716991215016977e-5
t76,1.335087746441736e-7,4.3720140525486357e-7,4.5036885050425655e-5,4.560759523032469e-5
t77,1.4868527304125648e-7,4.3612922095434896e-7,3.7832417436770466e-5,3.841723193076607e-5
t78,1.6963579401656033e-7,4.3890406382432417e-7,3.2905326433675214e-5,3.35138662915161e-5
t79,2.562602368780728e-7,5.004262701164905e-7,4.635319906003206e-5,4.710988556702662e-5
t80,4.918729584414153e-7,6.145955206424751e-7,0.00021367096616070174,0.00021477743463978562
t81,9.052070349269037e-7,7.357836922483995e-7,2.7500948620096692,2.7500965030003965
t82,2.0243822916382847e-7,4.914192935976361e-7,3.808685118993583e-5,3.87807087126973e-5
t83,1.1663349944115462e-7,4.207129665616698e-7,1.9082578015399034e-5,1.961992448140186e-5
t84,8.387059285152392e-8,3.9447571656214045e-7,1.4167066051487625e-5,1.464541236090129e-5
t85,6.593672192783796e-8,3.811753613020847e-7,1.1715482371595196e-5,1.2162594454825118e-5
t86,5.404405331668623e-8,3.681667278494154e-7,9.865249879913464e-6,1.0287460661079566e-5
t87,4.5237014379569395e-8,3.4668389757375575e-7,8.102513686314634e-6,8.494434598267959e-6
t88,3.8319114949701557e-8,3.0862500323956e-7,6.360830451797811e-6,6.707774569987072e-6
t89,3.2407284116856505e-8,2.515619180576435e-7,4.8050461479552596e-6,5.089015350129759e-6
t90,3.7783095892709876e-8,3.110540943217726e-7,7.033551650786678e-6,7.382388841001161e-6
t91,4.3086229378807444e-8,3.501628496310394e-7,9.54208657961358e-6,9.935335658623426e-6
t92,4.8236382190594475e-8,3.781136059402043e-7,1.2242276532201005e-5,1.2668626520331803e-5
t93,5.342531378748438e-8,3.985101951245884e-7,1.5133755541042176e-5,1.558569104995425e-5
t94,5.827082715712948e-8,4.1395473723803463e-7,1.82322900440948e-5,1.8704515608489965e-5
t95,6.244187768505023e-8,4.2671236975702077e-7,2.1238228878454677e-5,2.1727383125896748e-5
t96,7.711279892127722e-8,4.388240887366312e-7,2.296296413548689e-5,2.34789010231448e-5
t97,9.644992926708362e-8,4.4644092729071e-7,2.096845287180342e-5,2.151134372836121e-5
t98,9.499123150598969e-8,4.5767293205089825e-7,1.6795974742200598e-5,1.7348638905757487e-5
t99,9.460100755389287e-8,4.1918271056826875e-7,1.2734102379887971e-5,1.3247886098010132e-5
t100,1.0070302290918208e-7,4.344194476448178e-7,1.1478450155239959e-5,1.2013572625793958e-5
t101,1.1249659507663039e-7,4.5534666835819297e-7,1.1048531657751315e-5,1.1616374921186138e-5
t102,1.3518308416658958e-7,4.838799233115763e-7,1.1446229709105087e-5,1.2065292716583252e-5
t103,1.841951821937223e-7,5.300504889678879e-7,1.3476121788293859e-5,1.4190367459455469e-5
t104,3.363823581831491e-7,6.223133732036981e-7,2.165219510379823e-5,2.261089083518508e-5
t105,0.004168555378230346,8.961610875314919e-7,2.7504434392416406,2.7546128907809586
t106,4.2437032843016235e-7,5.252547486683281e-7,0.00032890994658913775,0.00032985957166623627
t107,1.5220586061977647e-7,4.321266575579381e-7,3.834848096391011e-5,3.893281348208782e-5
t108,9.557791054976558e-8,3.985788866438992e-7,1.8454563295021193e-5,1.8948720092214856e-5
t109,7.038135010023445e-8,3.8254660248374984e-7,1.3212768028360263e-5,1.3665695980944247e-5
t110,5.5578538847071404e-8,3.6780899725807085e-7,1.0426369111978036e-5,1.0849756648083179e-5
t111,4.5718319492790036e-8,3.467231992733074e-7,8.386474637905899e-6,8.778916156671997e-6
t112,3.843118917879339e-8,3.0885005970828876e-7,6.549496092173271e-6,6.896777341060353e-6
t113,3.249389960521757e-8,2.524597003224468e-7,4.933046946604458e-6,5.218000546532122e-6
t114,3.77904243230404e-8,3.117016864766211e-7,7.284441009998593e-6,7.633933120798254e-6
t115,4.300527919525439e-8,3.505824368252589e-7,9.995642169680868e-6,1.0389229885701382e-5
t116,4.8076369071549206e-8,3.783095818139774e-7,1.2930921769141592e-5,1.3357307720027119e-5
t117,5.3196778406925175e-8,3.9848093967633926e-7,1.6016766428835924e-5,1.646844414691919e-5
t118,5.80010061031067e-8,4.137105117286468e-7,1.899249157786007e-5,1.9464203095691823e-5
t119,6.21917437220283e-8,4.261525485011516e-7,2.1031496229051213e-5,2.1519840521274392e-5
t120,7.6970049965256e-8,4.378163112632922e-7,2.0629261085441256e-5,2.1144047446669806e-5
t121,8.866920589458311e-8,4.509820298379931e-7,1.738622365278392e-5,1.7925874888516497e-5
t122,9.224702679755106e-8,4.263870929490917e-7,1.3072749073662829e-5,1.359138319340947e-5
t123,9.932095926903317e-8,4.419449606536055e-7,1.169810072689689e-5,1.2239366646819528e-5
t124,1.1153880843980326e-7,4.6043660750791943e-7,1.1192885863151413e-5,1.1764861279099136e-5
t125,1.3440458160132453e-7,4.870611042744179e-7,1.1556390070313324e-5,1.2177855756189066e-5
t126,1.8328524816213763e-7,5.315782529242344e-7,1.3561989441735749e-5,1.427685294282212e-5
t127,3.351313885868465e-7,6.215088504655397e-7,2.1594796533062026e-5,2.2551436772114412e-5
t128,0.005018853789800474,8.889153866151439e-7,2.750348781511879,2.755368524217066
t129,4.864614796482551e-7,5.295655071705421e-7,0.0004205290299609279,0.0004215450569477467
t130,1.749623843869559e-7,4.3803235716406344e-7,4.35193196374529e-5,4.413231437900392e-5
t131,1.124841194741267e-7,4.0295965469075846e-7,2.0418581629991504e-5,2.093402540415639e-5
t132,8.575531514285075e-8,3.8916092015243986e-7,1.5175772662426453e-5,1.5650688897721743e-5
t133,6.998863411794447e-8,3.8052074018707237e-7,1.2808610098763993e-5,1.3259119473069009e-5
t134,5.8849439434895816e-8,3.698364095377798e-7,1.1202879108215964e-5,1.1631564957188639e-5
t135,5.00983072937519e-8,3.513309332656882e-7,9.762161850504538e-6,1.0163591091063978e-5
t136,4.288286614243743e-8,3.185969609363642e-7,8.314084013940274e-6,8.675563841019075e-6
t137,3.6654590796784684e-8,2.661414303900904e-7,6.747790933451806e-6,7.050586954638681e-6
t138,4.073582616344299e-8,3.2261315462102514e-7,9.950084235762093e-6,1.031343321654656e-5
t139,4.4389500831038975e-8,3.5854042183936923e-7,1.2827861184492266e-5,1.3230791107162674e-5
t140,4.813433675731094e-8,3.823072400026139e-7,1.4962806902436205e-5,1.539324847919613e-5
t141,5.224576976916257e-8,3.9798768947213914e-7,1.7443169996625123e-5,1.7893403455866426e-5
t142,5.691105697717973e-8,4.084425012178896e-7,2.0238625298397322e-5,2.0703978856592392e-5
t143,6.233343622112567e-8,4.157244691037227e-7,2.32135821087547e-5,2.3691640014079546e-5
t144,6.878007165935898e-8,4.2137750577793653e-7,2.609166732710276e-5,2.6581824904540056e-5
t145,7.66371121889067e-8,4.267069581591022e-7,2.8468905291806298e-5,2.8972249362154308e-5
t146,8.648335451842099e-8,4.3294115701865047e-7,3.183704808382045e-5,3.235647259535752e-5
t147,9.930559775173515e-8,4.419281936048577e-7,3.8226534197875506e-5,3.87677679892321e-5
t148,1.1675960359619777e-7,4.5618002146937205e-7,5.128647611154343e-5,5.1859415736609e-5
t149,1.3140764582481307e-7,4.4834441140851945e-7,5.1610669697848604e-5,5.2190421755081936e-5
t150,1.6742265684503218e-7,4.828870200406855e-7,6.886849074420049e-5,6.95188004210862e-5
t151,2.3145123150467678e-7,5.478447623620015e-7,0.00012384286866394377,0.00012462216465781043
t152,3.897384473092059e-7,7.212032960415466e-7,1.6785872625764406,1.678588373518184
t153,1.8095016908862217e-7,4.972632225528148e-7,3.867958439515394e-5,3.9357797786795376e-5
t154,1.1984933042679868e-7,4.2592893315053946e-7,2.02359242169814e-5,2.078170248055874e-5
t155,9.255117966662079e-8,3.9892056863226634e-7,1.541107947995551e-5,1.59025512282544e-5
t156,7.678059166700534e-8,3.8691393781863585e-7,1.329808723963788e-5,1.3761781769123521e-5
t157,6.594531132989187e-8,3.79679163058896e-7,1.2056142552506769e-5,1.2501767026895557e-5
t158,5.732755279472519e-8,3.702346145682713e-7,1.0973066216417654e-5,1.1400628383780651e-5
t159,4.995719338993989e-8,3.5443933724848375e-7,9.844304195837411e-6,1.0248700726475834e-5
t160,4.3255204852399025e-8,3.233171869482603e-7,8.484250223765496e-6,8.850822615566155e-6
t161,3.714031675129977e-8,2.721743184718743e-7,6.932509283981207e-6,7.241823919204381e-6
t162,3.957492466493114e-8,3.1409553036351824e-7,8.869127255389116e-6,9.222797710417566e-6
t163,4.305784548891393e-8,3.5286619978137946e-7,1.0955533821793968e-5,1.1351457867064262e-5
t164,4.6479617601005356e-8,3.783596209698695e-7,1.2299987047249053e-5,1.2724826285819928e-5
t165,5.013373780125252e-8,3.9504819875569554e-7,1.3759969643153295e-5,1.4205151579710244e-5
t166,5.418535166807745e-8,4.0591922502899835e-7,1.5293250507748447e-5,1.5753355084445523e-5
t167,5.8784938157448575e-8,4.1310127431578566e-7,1.6822538690972132e-5,1.7294424903445366e-5
t168,6.411034709258951e-8,4.1804997640278654e-7,1.8225605070556344e-5,1.870776539405172e-5
t169,7.03918847947794e-8,4.217975396961845e-7,1.9359642335900624e-5,1.9851831760391587e-5
t170,7.799489559557669e-8,4.254139791994274e-7,2.013106794421599e-5,2.0634476819010995e-5
t171,8.741916821085434e-8,4.2960616306079743e-7,2.1522221056106527e-5,2.203924638737818e-5
t172,9.95250030977345e-8,4.356206833152e-7,2.381617472236143e-5,2.4351320408774363e-5
t173,1.1576191877916733e-7,4.451844668989085e-7,2.75895823393899e-5,2.8150528725067976e-5
t174,1.3893723438191244e-7,4.6169375844091853e-7,3.427594218882957e-5,3.4876573181652406e-5
t175,1.7495367332949865e-7,4.920230686591009e-7,4.814550814976574e-5,4.881248489175434e-5
t176,2.3939663393452277e-7,5.550977103576054e-7,9.084585906200258e-5,9.16403534062947e-5
t177,3.949971301452804e-7,7.300238970732697e-7,2.6399708078775044,2.6399719328985314
t178,1.6823907832880934e-7,4.924823916916508e-7,3.7749627665538604e-5,3.8410349135559066e-5
t179,1.076019983289291e-7,4.2260597532112433e-7,1.925659552919403e-5,1.9786803502844084e-5
t180,8.006568510371236e-8,3.952781212042126e-7,1.4191191873194479e-5,1.4666535679502404e-5
t181,6.406152664383563e-8,3.8211700633373424e-7,1.1680974794092459e-5,1.2127153327070029e-5
t182,5.290741924774291e-8,3.681815552988328e-7,9.721278484776698e-6,1.0142367459323273e-5
t183,4.4517745789230496e-8,3.4656715550619744e-7,7.913217567536324e-6,8.304302468831752e-6
t184,3.781544743918692e-8,3.0828042304172686e-7,6.174002248818368e-6,6.520098119299281e-6
t185,3.1959757441135455e-8,2.507137983199928e-7,4.6758789873596575e-6,4.958552543120786e-6
t186,3.802208206677127e-8,3.106940887368623e-7,6.805448641559017e-6,7.15416481236265e-6
t187,4.4449579812971336e-8,3.5030086004071587e-7,9.180154676600733e-6,9.57490511645442e-6
t188,5.119802984788175e-8,3.791670943880209e-7,1.1777192906806703e-5,1.2207558031042605e-5
t189,5.84616526020891e-8,4.009767962521416e-7,1.4651246791487282e-5,1.5110685240341513e-5
t190,6.577567834493236e-8,4.1850278766556365e-7,1.8062141756764785e-5,1.854642022277528e-5
t191,7.293837171018919e-8,4.343257065016713e-7,2.217969675505013e-5,2.268696083326199e-5
t192,1.0044161154810157e-7,4.51172059032158e-7,2.6366836701287063e-5,2.691845037186732e-5
t193,1.2081234698021048e-7,4.727913099472131e-7,2.8152319114375113e-5,2.8745922771302536e-5
t194,1.242330104704472e-7,4.502784168565634e-7,1.8905187611451378e-5,1.9479699038778388e-5
t195,1.2402728690571786e-7,4.3242509119571495e-7,1.4854755685410786e-5,1.541120806351222e-5
t196,1.2093364831712957e-7,4.1760512170841265e-7,1.2274225805767047e-5,1.281276457579259e-5
t197,1.3443236306274718e-7,4.383888444509046e-7,1.1518909681624452e-5,1.2091730889138103e-5
t198,1.5563785870234627e-7,4.729490424999383e-7,1.1886980849962875e-5,1.251556775116516e-5
t199,2.0550375120380696e-7,5.242813681144427e-7,1.4041497281725524e-5,1.4771282401043774e-5
t200,3.6503347613982623e-7,6.219974367615649e-7,2.277820821132629e-5,2.3765239124227682e-5
t201,0.0014564453492304397,9.089506905961011e-7,2.7505371791351374,2.7519945334350586
t202,4.0104343436701277e-7,5.29736608941696e-7,0.000232862884402566,0.0002337936644458747
t203,1.4939821540668827e-7,4.3375083130073336e-7,3.432112527897652e-5,3.4904274325683944e-5
t204,9.465742750581422e-8,3.9967207442682756e-7,1.7749309031622597e-5,1.824363853355524e-5
t205,6.986732949299255e-8,3.8328396563467317e-7,1.2911608262901836e-5,1.3364759558029501e-5
t206,5.522684570243531e-8,3.689941203203498e-7,1.0235569292322553e-5,1.0659790258345339e-5
t207,4.5236138238796336e-8,3.463032393029413e-7,8.140377878845072e-6,8.531917256386809e-6
t208,3.7903106300241243e-8,3.075810732902758e-7,6.306437362317469e-6,6.651921541907986e-6
t209,3.1821998274455296e-8,2.4945765947654036e-7,4.739074473155467e-6,5.020354130906463e-6
t210,3.802554071338136e-8,3.100191431385277e-7,7.014997371495329e-6,7.363042055347238e-6
t211,4.474902829664926e-8,3.5027939330095695e-7,9.656328327678537e-6,1.0051356749276143e-5
t212,5.194575424635884e-8,3.8002588285634193e-7,1.2629851397538385e-5,1.3061823034641085e-5
t213,5.982022125649948e-8,4.0307186952321397e-7,1.6034031234343595e-5,1.6496923325123308e-5
t214,6.780942701705324e-8,4.2240579161473333e-7,2.007942028445334e-5,2.0569635503085125e-5
t215,7.51132062437918e-8,4.4103771586136724e-7,2.462759782318917e-5,2.514374874529433e-5
t216,9.848160393197881e-8,4.625799486426223e-7,2.803714381381767e-5,2.859820536639227e-5
t217,9.849083486767258e-8,4.4038499814352857e-7,1.987939214552513e-5,2.041826797853633e-5
t218,1.0234887700959061e-7,4.392544923953522e-7,1.5585228026150195e-5,1.6126831395555138e-5
t219,1.0099054519192697e-7,4.2163069112888e-7,1.2695106070842727e-5,1.3217727307163533e-5
t220,1.062470882515133e-7,4.2628181638892105e-7,1.130263120612197e-5,1.1835160110762404e-5
t221,1.1452432193503949e-7,4.4398355954053156e-7,1.0715244720077173e-5,1.1273752601552744e-5
t222,1.3437072082954995e-7,4.77720582431309e-7,1.1036477142662131e-5,1.164856844592299e-5
t223,1.7947620908499425e-7,5.287643780626312e-7,1.2898609670243373e-5,1.3606850257390998e-5
t224,3.2298505062003664e-7,6.274900578595126e-7,2.0526020015665127e-5,2.1476495124144676e-5
t225,0.007925735258207759,9.218531415011393e-7,2.7503747728570307,2.75830142996838
t226,4.416254829479329e-7,5.314607726050419e-7,0.00040035840584234683,0.0004013314920978998
t227,1.5189277942047342e-7,4.3292556416475887e-7,3.9227125060575606e-5,3.981194340416084e-5
t228,9.49793784065228e-8,3.987033711161746e-7,1.8316056895371886e-5,1.8809739644894583e-5
t229,6.988418402118096e-8,3.831896360462443e-7,1.297908139884263e-5,1.3432155218910055e-5
t230,5.5044647830122025e-8,3.6861950486255623e-7,1.0102060129216162e-5,1.052572428190884e-5
t231,4.494082403264203e-8,3.449427348544614e-7,7.91296372793173e-6,8.302847286818834e-6
t232,3.768812920142557e-8,3.0705650456383216e-7,6.117885766319765e-6,6.4626304000850225e-6
t233,3.1598674367657304e-8,2.486536209359781e-7,4.607584522443279e-6,4.8878368177469146e-6
t234,3.8083057182679734e-8,3.094994139809156e-7,6.748302011485178e-6,7.095884482648773e-6
t235,4.524461386613943e-8,3.4972121264695586e-7,9.151357576847112e-6,9.546323403360208e-6
t236,5.309886745536119e-8,3.794191113048432e-7,1.1810925237332988e-5,1.2243443216093192e-5
t237,6.187237458620016e-8,4.023414674806271e-7,1.4810587731121806e-5,1.5274801573188633e-5
t238,7.097095929313103e-8,4.214008504410379e-7,1.8477374756146514e-5,1.8969746565880684e-5
t239,7.943251150422292e-8,4.3946862240468384e-7,2.306667472854906e-5,2.3585575862457968e-5
t240,1.1854301321125215e-7,4.598819153047172e-7,2.7897859112325253e-5,2.847628404084122e-5
t241,1.3065708136602618e-7,4.6839437689972996e-7,2.632448991286936e-5,2.6923541371135115e-5
t242,1.3301328775140206e-7,4.4878892957253955e-7,1.823823769966247e-5,1.8820039916986413e-5
t243,1.3247059959917549e-7,4.3425626043204335e-7,1.4645371120787384e-5,1.5212097980818603e-5
t244,1.293370019341989e-7,4.2223734538930164e-7,1.237615090363072e-5,1.292772525095422e-5
t245,1.3714191213579515e-7,4.308237125942354e-7,1.1306257651740388e-5,1.1874223276470419e-5
t246,1.5611839233896672e-7,4.6829000616375655e-7,1.1612099726725262e-5,1.2236508125227986e-5
t247,2.040631811901835e-7,5.222193135488025e-7,1.364980143698146e-5,1.4376083931720446e-5
t248,3.613642143537534e-7,6.230174208797064e-7,2.2037902249442455e-5,2.3022283884675916e-5
t249,0.009889750359872839,9.157704400486827e-7,2.7504855469055953,2.7603762130359084
t250,4.2882791621222534e-7,5.382017275466121e-7,0.0002868491209221798,0.00028781615056593866
t251,1.5169077281255675e-7,4.3552445465728066e-7,3.5428461329977603e-5,3.601567655744744e-5
t252,9.532723264804587e-8,4.0017357531967766e-7,1.7767726750342693e-5,1.8263227558310416e-5
t253,7.011936595028057e-8,3.8342228260355676e-7,1.2777488394017907e-5,1.3231030042571745e-5
t254,5.522971484691784e-8,3.6832689911663103e-7,1.0013572496900534e-5,1.0437129110864083e-5
t255,4.517942206427853e-8,3.4581666569450204e-7,7.913259982753996e-6,8.304256070512776e-6
t256,3.77920977789916e-8,3.0693987683551086e-7,6.1004591161272665e-6,6.445191090741769e-6
t257,3.172763062362635e-8,2.497531087576462e-7,4.611184398370693e-6,4.892665137751966e-6
t258,3.7669062957945597e-8,3.0587952024436063e-7,6.575295402822628e-6,6.918843986024934e-6
t259,4.483549762689998e-8,3.4712102505176866e-7,8.9383181144296e-6,9.330274637108269e-6
t260,5.2727455799948837e-8,3.7748400129283133e-7,1.1548025374288101e-5,1.1978236831380881e-5
t261,6.158286290365905e-8,4.0087218770127695e-7,1.4474772909702834e-5,1.493722796030777e-5
t262,7.080651950158075e-8,4.202137105539338e-7,1.804166752999646e-5,1.8532687760051975e-5
t263,7.941950173866273e-8,4.383505953480535e-7,2.2537022700699726e-5,2.305479279778644e-5
t264,1.198483161978272e-7,4.5855912754437887e-7,2.743125318262774e-5,2.800966062636995e-5
t265,1.346874474407374e-7,4.730395012147845e-7,2.745420420181607e-5,2.806193115047159e-5
t266,1.3940502910399118e-7,4.5301291641897415e-7,1.8766180753403266e-5,1.935859869892623e-5
t267,1.41330074304562e-7,4.391258233824164e-7,1.510167553541532e-5,1.5682131433102296e-5
t268,1.404434641387457e-7,4.286638694586e-7,1.2935532612410812e-5,1.3504639946008157e-5
t269,1.3974687030440664e-7,4.243627990580392e-7,1.1452132379202621e-5,1.2016242048565068e-5
t270,1.6084549292049076e-7,4.6368042084601796e-7,1.172975337604721e-5,1.2354279289813718e-5
t271,2.085273917922125e-7,5.188777846485667e-7,1.3778401701492939e-5,1.4505806877933718e-5
t272,3.6648204213568873e-7,6.206447707240261e-7,2.222730387751393e-5,2.3214430690373646e-5
t273,0.010839848365157874,9.163884438933079e-7,2.750522162847674,2.761362927601276
t274,4.2885243635687486e-7,5.35256866360788e-7,0.0002497159862450551,0.00025068009554777274
t275,1.587479451517653e-7,4.345804282226469e-7,3.5258460850214686e-5,3.5851789223589096e-5
t276,1.026814223452429e-7,4.0070490214329153e-7,1.8672968485779895e-5,1.917635481026843e-5
t277,7.723675608540909e-8,3.8476973634044114e-7,1.405025761963479e-5,1.451226411206064e-5
t278,6.193469924604698e-8,3.712072453470161e-7,1.1664954869685366e-5,1.209809681427843e-5
t279,5.1373966708248726e-8,3.528011548594702e-7,9.96387292590978e-6,1.0368048047477499e-5
t280,4.3257539372304535e-8,3.1914952100911313e-7,8.353128309411637e-6,8.715535369793054e-6
t281,3.668850671182611e-8,2.6556816822671725e-7,6.68097284031281e-6,6.9832295152513536e-6
t282,4.0726728882978045e-8,3.221996703315776e-7,9.729576267215405e-6,1.009250266642996e-5
t283,4.4345190256922773e-8,3.582078023519279e-7,1.2318360587665185e-5,1.2720913580274037e-5
t284,4.805265091768191e-8,3.8202573805022703e-7,1.4093677245892356e-5,1.4523755634860264e-5
