G_20,G_21,G_22,G_23,G_24,G_25,G_26,G_27,G_28,G_29,G_30,G_31,G_48,G_49,G_50,G_51
0.0,0.0,2.7773772555175835e-9,0.0,2.3586415578913586e-9,2.858396954202257e-9,1.8974752989570304e-9,0.0,2.913738438888845e-9,3.1849447281148684e-9,3.1849361604974973e-9,2.843750175476866e-9,0.0,3.0,90.0,72.0
0.0,0.0,2.771641567211073e-9,0.0,2.291800931866663e-9,2.850524891852282e-9,1.8835983998172786e-9,0.0,2.9070363773102352e-9,3.0594227113161416e-9,3.184933433152322e-9,2.8375716916691194e-9,0.0,3.0,90.0,72.0
0.0,0.0,2.7608185153233417e-9,0.0,2.2498048934489162e-9,2.8398621513273048e-9,1.9048602648923013e-9,0.0,2.8944455711326146e-9,3.184944721432522e-9,3.1849365320808514e-9,2.8251295036672353e-9,0.0,3.0,90.0,72.0
0.0,2.63501925096395e-9,2.5311130306505767e-9,0.0,1.9207068256865027e-9,2.5915112438935445e-9,1.8557589135325148e-9,0.0,2.6350185235422516e-9,3.0908109279784225e-9,3.382907531438273e-9,2.579963181181124e-9,0.0,3.0,90.0,72.0
0.0,2.829674126007265e-9,2.7043393112665424e-9,0.0,1.4787350445420686e-9,2.77814310140142e-9,1.8525006429635134e-9,2.5783858573649438e-9,2.8296547783213476e-9,3.184944132494293e-9,3.1849356348778346e-9,2.76385042020214e-9,0.0,3.0,90.0,72.0
0.0,2.778734934826127e-9,2.659236205429836e-9,0.0,1.139081367473767e-9,2.7286584038776857e-9,1.801965230883038e-9,2.660006050431554e-9,2.7787182662361285e-9,3.0098913898091095e-9,3.184932921033441e-9,2.7164031146228277e-9,0.0,3.0,90.0,72.0
1.5920527118851169e-9,3.1849433062210117e-9,2.7005541986068316e-9,0.0,1.2375543459643174e-9,2.770680041807624e-9,1.8990660120896075e-9,2.808818084014607e-9,2.8269289040506194e-9,3.1849445326864362e-9,3.184935408036292e-9,2.7625047868393792e-9,0.0,3.0,90.0,72.0
1.824099982172811e-9,2.4935744860681848e-9,2.3924118094140542e-9,0.0,1.9217363965355402e-9,2.449325029228881e-9,1.873171312713497e-9,2.490424643374594e-9,2.4935691050114897e-9,3.2333625755617293e-9,3.6487071585214507e-9,2.4461347525393245e-9,0.0,3.0,90.0,72.0
1.5920527118851169e-9,3.1849446798132802e-9,2.6018635103148705e-9,0.0,2.3264495093821867e-9,2.6849002687267356e-9,1.9446055332554286e-9,2.734916330357926e-9,2.737260461195005e-9,3.1849454431826248e-9,3.1849318247014476e-9,2.6785353858171814e-9,0.0,3.0,90.0,72.0
1.6037127181789401e-9,2.7517628598234093e-9,2.611457636991317e-9,0.0,2.456022464310114e-9,2.7001210845782357e-9,1.9612084658571235e-9,2.7459885552766673e-9,2.751751305694996e-9,3.0147057105693624e-9,3.20820930416367e-9,2.692065369767914e-9,0.0,3.0,90.0,72.0
1.5920527118851169e-9,3.1849445798920613e-9,2.6583646256566802e-9,0.0,2.61141217583515e-9,2.750846141040983e-9,2.030030481286776e-9,2.7986407331987346e-9,2.8043818767332635e-9,3.18494550483637e-9,3.184933744415868e-9,2.740755638352466e-9,0.0,3.0,90.0,72.0
1.6001955316369276e-9,2.7569523892439894e-9,2.6176372883084134e-9,0.0,2.5617077035495188e-9,2.7061119432061945e-9,2.069669141938631e-9,2.752667832361412e-9,2.756943621387655e-9,3.012152648179924e-9,3.201182820330571e-9,2.69576486381446e-9,0.0,3.0,90.0,72.0
1.5920527118851169e-9,2.7963487499975323e-9,2.645655954904479e-9,0.0,2.613589699763439e-9,2.7470239253867945e-9,2.104826004315444e-9,2.790930550677386e-9,2.7963370519942673e-9,3.1849457238847655e-9,3.1849334943117382e-9,2.733516043865324e-9,0.0,3.0,90.0,72.0
0.0,2.670224393374113e-9,2.5247147435237874e-9,0.0,2.51157996523867e-9,2.6284022875419937e-9,2.1890208293005635e-9,2.642738823117754e-9,2.670225937787092e-9,2.9727746885082185e-9,3.1848706961204797e-9,2.6145741141356635e-9,0.0,3.0,90.0,72.0
0.0,0.0,2.461351489445314e-9,0.0,2.438840541852485e-9,2.56597004545049e-9,2.3026823289487415e-9,0.0,2.6045138264758297e-9,3.184945570609964e-9,3.184932696657129e-9,2.55295971252129e-9,0.0,3.0,90.0,72.0
0.0,0.0,2.4501480801949636e-9,0.0,2.4471366482728147e-9,2.563933491687603e-9,2.3613371303877346e-9,0.0,2.5991588732541125e-9,2.950775177417894e-9,3.1822882483712707e-9,2.547835027167625e-9,0.0,3.0,90.0,72.0
0.0,0.0,2.453926475989042e-9,0.0,2.462187126616178e-9,2.5753901762658343e-9,2.386801506705169e-9,0.0,2.609017108545772e-9,3.184946151708092e-9,3.1849322051186002e-9,2.55715168761884e-9,0.0,3.0,90.0,72.0
0.0,0.0,2.4845087673429344e-9,0.0,2.490386925778344e-9,2.60671757194022e-9,2.443800043539151e-9,0.0,2.6390298242808422e-9,3.0875857608449677e-9,3.3765259204038272e-9,2.5861363469293182e-9,0.0,3.0,90.0,72.0
0.0,0.0,2.4692566812002568e-9,0.0,2.494600327556206e-9,2.615146350235881e-9,2.47941839431416e-9,0.0,2.6464971961176516e-9,3.1849469706110894e-9,3.184929146550231e-9,2.592259893459021e-9,0.0,3.0,90.0,72.0
0.0,0.0,2.426935322629326e-9,0.0,2.518809105312517e-9,2.63938869335328e-9,2.52914406535492e-9,0.0,2.6714382276977816e-9,3.1098900651347838e-9,3.3965627795052026e-9,2.614356474495913e-9,0.0,3.0,90.0,72.0
0.0,0.0,2.381158968537845e-9,0.0,2.662127354713425e-9,2.8025816207771604e-9,2.6927415330844766e-9,0.0,2.842726738120716e-9,3.2462001990590356e-9,3.2462171709266197e-9,2.7763031244311754e-9,0.0,3.0,90.0,72.0
0.0,0.0,2.1905483800299e-9,0.0,2.6759792838910297e-9,2.813665368679863e-9,2.7260852619253415e-9,0.0,2.8588856129908683e-9,3.085208687436964e-9,3.260357995544901e-9,2.7925994079992736e-9,0.0,3.0,90.0,72.0
0.0,0.0,2.0498723474628787e-9,0.0,2.6859539324366203e-9,2.821863364313348e-9,2.7416484067649707e-9,0.0,2.870995708540683e-9,3.2603280747940273e-9,3.260358278709496e-9,2.8046602264703737e-9,0.0,3.0,90.0,72.0
0.0,0.0,1.9564198430989423e-9,0.0,2.688271205685657e-9,2.8228979253646957e-9,2.751203234825288e-9,0.0,2.8738298394839136e-9,3.090821173549185e-9,3.260353348998461e-9,2.8075566529394226e-9,0.0,3.0,90.0,72.0
0.0,0.0,1.8375297267124912e-9,0.0,2.6715127107343642e-9,2.7978681593712547e-9,2.7402704959163233e-9,0.0,2.8534947315714736e-9,3.2603306069324454e-9,3.2603370447814695e-9,2.786863814992402e-9,0.0,3.0,90.0,72.0
0.0,0.0,1.6176289247021432e-9,0.0,2.657638594271564e-9,2.7752684105742906e-9,2.7244180235416162e-9,0.0,2.835674822921997e-9,3.0954298365108443e-9,3.2910976420926976e-9,2.7690829670125325e-9,0.0,3.0,90.0,72.0
0.0,0.0,1.4005784583777018e-9,0.0,2.508442727773939e-9,2.609505155977671e-9,2.5661153939042037e-9,0.0,2.6612709458612934e-9,3.2603326760872463e-9,3.260321275500985e-9,2.603918291306754e-9,0.0,3.0,90.0,72.0
0.0,2.4658878675184324e-9,1.2893573807733648e-9,0.0,2.339581843163804e-9,2.4288271823813347e-9,2.3874130472511575e-9,0.0,2.465838445081045e-9,3.468190608450145e-9,4.013822654855627e-9,2.4184841591950325e-9,0.0,3.0,90.0,72.0
0.0,2.845336322104623e-9,1.2062948278746262e-9,0.0,2.6733115163575117e-9,2.7990742444322746e-9,2.7395023272338714e-9,2.66609303363933e-9,2.845337937662082e-9,3.8369243160161876e-9,3.836937767630204e-9,2.7815976100899967e-9,0.0,3.0,90.0,72.0
0.0,3.761820560405718e-9,1.0977054189903562e-9,0.0,3.3498065176365054e-9,3.6324350669585616e-9,3.49626188508e-9,3.6983194594607297e-9,3.761817664893153e-9,3.761819009805642e-9,3.761807653515867e-9,3.5975417766817716e-9,0.0,3.0,90.0,72.0
2.111010033445382e-9,4.2220555032905965e-9,1.121903563400174e-9,0.0,3.6685946862613137e-9,3.9742843332856405e-9,3.846853027506199e-9,4.054565870374496e-9,4.1345539392658596e-9,4.222012539519829e-9,4.220969480905382e-9,3.9577708048328395e-9,0.0,3.0,90.0,72.0
2.1110135861590607e-9,4.217329507450658e-9,1.12411929699067e-9,0.0,3.704266972123131e-9,4.018847310961288e-9,3.892976013367451e-9,4.1102155742955975e-9,4.217309059253339e-9,4.219646755581435e-9,4.221052817011258e-9,4.0021170442007866e-9,0.0,3.0,90.0,72.0
2.1110153625159e-9,4.222052666072746e-9,1.3011908405326058e-9,0.0,3.726341716268062e-9,4.073796439927513e-9,3.935870103813419e-9,4.129198165013028e-9,4.222081171751779e-9,4.22202027722137e-9,4.2210676489993764e-9,4.043956771913261e-9,0.0,3.0,90.0,72.0
2.1110153625159e-9,4.222054968640649e-9,1.7488170392448e-9,0.0,3.695573012152316e-9,4.1138685590358935e-9,3.963133902311919e-9,4.14594936245299e-9,4.2220817604840826e-9,4.222019848605075e-9,4.221041495538417e-9,4.058517218697128e-9,0.0,3.0,90.0,72.0
2.1110153625159e-9,4.222055450603137e-9,2.096224939879627e-9,0.0,3.6824894005720814e-9,4.129638663382156e-9,3.976254571899773e-9,4.129173443481736e-9,4.222083116188315e-9,4.222020836989393e-9,4.221014345412964e-9,4.053561069576398e-9,0.0,3.0,90.0,72.0
2.1110153625159e-9,4.222065010485793e-9,2.519248537849511e-9,0.0,3.730846049924437e-9,4.132913283782272e-9,3.9773888694505405e-9,4.162264460433665e-9,4.222081909364107e-9,4.222019448763222e-9,4.221013568447767e-9,4.041100751549017e-9,0.0,3.0,90.0,72.0
2.1110153625159e-9,4.222080626090061e-9,3.0728771592113114e-9,0.0,3.7928254011309455e-9,4.130911466772729e-9,4.021896603501098e-9,4.176319320095908e-9,4.2220688841257466e-9,4.222019306401694e-9,4.221014096065524e-9,4.0484795859264135e-9,0.0,3.0,90.0,72.0
0.0,2.8129846879453466e-9,2.5154017335221903e-9,0.0,2.6469003134736387e-9,2.7752039346800374e-9,2.736522868440517e-9,2.682287282871155e-9,2.8129934283122534e-9,3.6778163841171116e-9,4.221019270475854e-9,2.7412024592338883e-9,0.0,3.0,90.0,72.0
0.0,0.0,2.417732340962174e-9,0.0,2.503414572481897e-9,2.6169846106480417e-9,2.5901696365614954e-9,0.0,4.222058398764354e-9,4.222017348132439e-9,4.221015248881192e-9,2.586659628498402e-9,0.0,3.0,90.0,72.0
0.0,0.0,2.4735792218803274e-9,0.0,2.537568948102305e-9,2.6553678082480493e-9,2.6296439860599727e-9,0.0,2.6884961936698903e-9,3.6481780712200116e-9,4.22080955411809e-9,2.627048411660889e-9,0.0,3.0,90.0,72.0
0.0,0.0,2.492291136953578e-9,0.0,2.5325379347494433e-9,2.6494628053209705e-9,2.6211173559327678e-9,0.0,4.22204843229872e-9,4.222017053379728e-9,4.221014803897084e-9,2.6225878830971042e-9,0.0,3.0,90.0,72.0
0.0,0.0,2.549864242169514e-9,0.0,2.5782581741584244e-9,2.6985435107754196e-9,2.6658375037039307e-9,0.0,2.734708309176512e-9,3.6588419058793855e-9,4.2209408457755e-9,2.672516107715762e-9,0.0,3.0,90.0,72.0
0.0,0.0,2.6623144145797852e-9,0.0,2.709548676700953e-9,2.8410511555431935e-9,2.809209072608183e-9,0.0,2.884873571687101e-9,4.222014395469592e-9,4.221044648770235e-9,2.814009063577863e-9,0.0,3.0,90.0,72.0
0.0,0.0,2.3905119169097663e-9,0.0,2.4469246175257257e-9,2.576631594376461e-9,2.5571731617399386e-9,0.0,2.614704726535336e-9,3.885997156817628e-9,4.633007200274319e-9,2.5558650532044744e-9,0.0,3.0,90.0,72.0
0.0,0.0,2.5578412000216588e-9,0.0,2.655900721585919e-9,2.854853671139341e-9,2.829321079879173e-9,0.0,2.9031185933720158e-9,4.222016963219771e-9,4.221035266415409e-9,2.8301575421322887e-9,0.0,3.0,90.0,72.0
0.0,0.0,2.245556456613949e-9,0.0,2.3724706072966615e-9,2.534386774898035e-9,2.514663145247619e-9,0.0,2.5701653189670233e-9,3.964713683347511e-9,4.779737374185359e-9,2.513186296424229e-9,0.0,3.0,90.0,72.0
0.0,0.0,2.311478524573878e-9,0.0,2.4747970924791002e-9,2.6459729934158924e-9,2.626366078427397e-9,0.0,2.6835770891368763e-9,4.2220194547265085e-9,4.220926577114011e-9,2.6214217150764974e-9,0.0,3.0,90.0,72.0
0.0,0.0,2.3068212607143415e-9,0.0,2.5796080813234026e-9,2.7577375028895963e-9,2.736416360743456e-9,0.0,2.7985192754980237e-9,3.6742185487462863e-9,4.220994193041511e-9,2.7325473544810893e-9,0.0,3.0,90.0,72.0
0.0,0.0,2.198346121495857e-9,0.0,2.4988065505243143e-9,2.650699842232296e-9,2.6317582405430226e-9,0.0,2.6894298996059252e-9,4.2220208681782425e-9,4.221079226111499e-9,2.6307102907007834e-9,0.0,3.0,90.0,72.0
0.0,0.0,2.2485401048934857e-9,0.0,2.7176222034119027e-9,2.880402241366506e-9,2.8595823434957937e-9,0.0,2.9268812752537068e-9,3.7074604473406037e-9,4.22106138595312e-9,2.8583138997281697e-9,0.0,3.0,90.0,72.0
0.0,0.0,1.7773809154197083e-9,0.0,2.5372974732296283e-9,2.6461678674942983e-9,2.6274525983245726e-9,0.0,2.6881920233731676e-9,4.222019623644659e-9,4.221055297261032e-9,2.6318788672820185e-9,0.0,3.0,90.0,72.0
0.0,2.673194841485491e-9,7.050457050070189e-10,0.0,2.5244592448667714e-9,2.6260310990924677e-9,2.618473161144893e-9,0.0,2.673133386409027e-9,3.793135391170011e-9,4.460247342545301e-9,2.6156374690246676e-9,0.0,3.0,90.0,72.0
0.0,2.5931085574503925e-9,0.0,0.0,2.453200920032289e-9,2.5514226874628564e-9,2.5448698627908453e-9,2.5396222543576506e-9,2.5931099204646977e-9,4.222018938259737e-9,4.221011715282202e-9,2.5329608925451404e-9,0.0,3.0,90.0,72.0
0.0,3.205925332272659e-9,0.0,0.0,2.9846914651852212e-9,3.1385931468599486e-9,3.130495294444669e-9,3.1934356577854934e-9,3.2059260088876523e-9,3.764012315791818e-9,4.175806899395339e-9,3.1046523701503997e-9,0.0,3.0,90.0,72.0
2.1110153625159e-9,4.222053038573951e-9,0.0,0.0,3.198811696379927e-9,3.405605996142532e-9,3.4027679125767183e-9,3.4830803006328854e-9,3.4942837758325887e-9,4.222019512945542e-9,4.221010968501516e-9,3.374830839241875e-9,0.0,3.0,90.0,72.0
2.1761632496009042e-9,4.150717393374961e-9,1.6051175560905989e-9,0.0,3.5771489833266576e-9,4.013967724233838e-9,4.004230503560725e-9,4.139191147729254e-9,4.150698060087788e-9,4.253314743740728e-9,4.352410910309397e-9,3.966319772371441e-9,0.0,3.0,90.0,72.0
2.17617568409878e-9,4.352322266900154e-9,2.8057228878087696e-9,0.0,3.7226461814818503e-9,4.184774449808697e-9,4.173010093227843e-9,4.335810793664632e-9,4.3523045299401325e-9,4.35232253245195e-9,4.352331303588072e-9,4.129091445417405e-9,0.0,3.0,90.0,72.0
2.17617568409878e-9,4.352322212396292e-9,3.5987625911343672e-9,0.0,3.788835723077934e-9,4.194384017235385e-9,4.162872036942212e-9,4.337813009322393e-9,4.35230499298282e-9,4.352322479162532e-9,4.352330495896325e-9,4.1182986269481e-9,0.0,3.0,90.0,72.0
2.17617568409878e-9,4.352323069150878e-9,3.827894597390782e-9,0.0,3.741496141366328e-9,4.218681500369734e-9,4.15433982393967e-9,4.336651243284568e-9,4.352324486726369e-9,4.3523233696208874e-9,4.352329186656484e-9,4.082341734719221e-9,0.0,3.0,90.0,72.0
2.17617568409878e-9,4.31897070708963e-9,3.940126663722428e-9,0.0,3.7705132415867524e-9,4.19359414991077e-9,4.118067865160042e-9,4.3078074396031704e-9,4.318968602109503e-9,4.334972494702729e-9,4.352337704381932e-9,3.9770450571348994e-9,0.0,3.0,90.0,72.0
2.17617568409878e-9,4.352323411835028e-9,4.008701005137406e-9,0.0,3.860102164281718e-9,4.245188902655028e-9,4.189352237071292e-9,4.337745912682624e-9,4.352323617300759e-9,4.3523227182358444e-9,4.352329662180449e-9,3.9890369338171696e-9,0.0,3.0,90.0,72.0
0.0,2.630283284399674e-9,2.5288321202166437e-9,0.0,2.4867152158363463e-9,2.598380748215068e-9,2.580957696302902e-9,2.6126411444540863e-9,2.6302919562887906e-9,3.8601188898040785e-9,4.584857427974392e-9,2.513877507320621e-9,0.0,3.0,90.0,72.0
0.0,0.0,2.5774616652788056e-9,0.0,2.533347447299219e-9,2.6536364319903115e-9,2.633387030798179e-9,0.0,2.6834161702050965e-9,4.3523210772277745e-9,4.352330153251835e-9,2.5475741005551757e-9,0.0,3.0,90.0,72.0
0.0,0.0,2.580572790322787e-9,0.0,2.451144452126415e-9,2.6569109992797486e-9,2.6356516181316652e-9,0.0,2.6867971653194323e-9,3.729375322666264e-9,4.3522002210942736e-9,2.558450120113921e-9,0.0,3.0,90.0,72.0
0.0,0.0,2.569292205696613e-9,0.0,2.458472248607962e-9,2.6441092793053705e-9,2.6227081496934367e-9,0.0,4.3523181849314844e-9,4.352321338498842e-9,4.352328720764912e-9,2.5682373669866884e-9,0.0,3.0,90.0,72.0
0.0,0.0,2.5884328216112362e-9,0.0,2.454417409426934e-9,2.6637663125837236e-9,2.643037815333963e-9,0.0,2.69531274186964e-9,3.760752813171543e-9,4.3998635369112466e-9,2.5895933914478535e-9,0.0,3.0,90.0,72.0
0.0,0.0,2.5203868282214326e-9,0.0,2.3334828457917076e-9,2.591897304164969e-9,2.5731803165158985e-9,0.0,4.352320291325294e-9,4.352321565456173e-9,4.352327924721991e-9,2.5089717418716018e-9,0.0,3.0,90.0,72.0
0.0,0.0,2.5197645851012254e-9,0.0,2.3220035243682184e-9,2.5898489352793133e-9,2.5735025447866762e-9,0.0,2.6204181175781527e-9,3.876417201905178e-9,4.615163407775338e-9,2.4861320593669033e-9,0.0,3.0,90.0,72.0
0.0,0.0,2.632579537876286e-9,0.0,2.345710861547056e-9,2.7100429043372342e-9,2.691663624889694e-9,0.0,4.3523217313211234e-9,4.352321818972966e-9,4.352328782506592e-9,2.5774856623300665e-9,0.0,3.0,90.0,72.0
0.0,0.0,2.471334374927491e-9,0.0,2.152718619594746e-9,2.5383595267372883e-9,2.521367191868346e-9,0.0,2.567768570369407e-9,3.969164615935481e-9,4.788065107329075e-9,2.4138815329921595e-9,0.0,3.0,90.0,72.0
0.0,0.0,2.572244179883245e-9,0.0,2.055289463301933e-9,2.6444973825076407e-9,2.6264850090433636e-9,0.0,4.352320468922269e-9,4.3523230989692456e-9,4.352322197559359e-9,2.490645739764446e-9,0.0,3.0,90.0,72.0
0.0,0.0,2.5284247524354403e-9,0.0,1.857049049849521e-9,2.595417884588974e-9,2.5809649604704858e-9,0.0,2.6298467483888968e-9,3.860839904061066e-9,4.586193004923666e-9,2.477351826701209e-9,0.0,3.0,90.0,72.0
0.0,0.0,2.6001233929257166e-9,0.0,1.3534286748403237e-9,2.669311002693881e-9,2.6564047301314363e-9,0.0,2.708185385058986e-9,4.352323591671695e-9,4.352320603687292e-9,2.5419363450431046e-9,0.0,3.0,90.0,72.0
0.0,0.0,2.6015263121736587e-9,0.0,5.278427760191766e-10,2.671842710714493e-9,2.660725542020475e-9,0.0,2.7134494713550615e-9,3.735379600208233e-9,4.352323917867229e-9,2.52650210521151e-9,0.0,3.0,90.0,72.0
0.0,0.0,2.536603179535385e-9,0.0,0.0,2.6401850343481466e-9,2.630596683880967e-9,0.0,2.686055258628567e-9,4.352323596723353e-9,4.352320781520464e-9,2.497038620367344e-9,0.0,3.0,90.0,72.0
0.0,2.517420332897063e-9,2.371243919943573e-9,0.0,0.0,2.4716857317132614e-9,2.4660096006548786e-9,0.0,2.515566365846854e-9,4.009005393684787e-9,4.873408213396624e-9,2.3600543684355014e-9,0.0,3.0,90.0,72.0
0.0,2.681237555232808e-9,2.5182738985011155e-9,0.0,0.0,2.631108830129195e-9,2.620182913206299e-9,2.6588623750567297e-9,2.681265942638557e-9,4.352323746036068e-9,4.352317756975954e-9,2.5254324134973236e-9,0.0,3.0,90.0,72.0
