Resource,Arizona_Li_Battery,CAISO_New_Flow_Battery,CAISO_New_Flow_Battery_12,CAISO_New_Flow_Battery_8,CAISO_New_LDES_Battery_12,CC_Power_GoalLine,CC_Power_Tumbleweed,Generic_4hr_battery_low_cost,Generic_6hr_battery,Generic_6hr_battery_low_cost,Generic_8hr_battery,Generic_8hr_battery_low_cost,Northern_California_Li_Battery,Riverside_Li_Battery,Riverside_West_Pumped_Storage,Tehachapi_Pumped_Storage,Total
t1889,1.5808714109495285e-8,1.8289991880939048e-8,2.1467795558372697e-8,2.1650303711236254e-8,-2.9050869620182834e-8,0.0,0.0,4.5049809443226234e-8,4.794667531084866e-8,4.621974855232072e-8,1.4736296231134521e-8,1.9501146968025983e-8,1.5808714109495285e-8,1.5808714109495285e-8,1.0837814937222092e-8,1.0837814937222092e-8,2.7491267023885134e-7
t1890,9.407908860079261e-8,4.6386897462971666e-8,5.588807286682608e-8,5.641093612736625e-8,-8.034976664327488e-8,0.0,0.0,2.7639217098451284e-7,2.91451081400852e-7,2.761633865526012e-7,3.378068438391495e-8,4.5383013237601845e-8,9.407908860079261e-8,9.407908860079261e-8,2.782029419842052e-8,2.782029419842052e-8,1.3393843305725908e-6
t1891,2.8589645845269163e-11,7.234172528189562e-11,8.291979338863643e-11,8.357003270723629e-11,-1.0718534913483203e-10,0.0,0.0,7.899004014993778e-11,8.565074462258511e-11,8.290409990835072e-11,6.965769132317154e-11,9.087202638355133e-11,2.8589645845269163e-11,2.8589645845269163e-11,4.281724263284038e-11,4.281724263284038e-11,7.11124227432021e-10
t1892,1.0194229448589985e-7,4.7676989945414193e-8,5.7493077901936245e-8,5.803751376309197e-8,-8.38275847839301e-8,0.0,0.0,2.7586984225021295e-7,3.163104762900085e-7,2.9920736030128263e-7,3.4658216649894785e-8,4.659551818994305e-8,1.0194229448589985e-7,1.0194229448589985e-7,2.8598075611623006e-8,2.8598075611623006e-8,1.4150444451887998e-6
t1893,2.818467069328625e-11,7.117825702039768e-11,8.156482716941533e-11,8.221148368990821e-11,-1.0660573249785064e-10,0.0,0.0,7.785843468792268e-11,8.443175885605416e-11,8.172151721785716e-11,6.86933945539557e-11,8.962755096971197e-11,2.818467069328625e-11,2.818467069328625e-11,4.2112772504767525e-11,4.2112772504767525e-11,6.994610487567661e-10
t1894,1.0175708358753269e-7,4.750406468740507e-8,5.7263769859470195e-8,5.780923197753737e-8,-8.441698940680929e-8,0.0,0.0,2.7535817637074e-7,3.156788481298339e-7,2.986277215643651e-7,3.4617555087075185e-8,4.654332081873079e-8,1.0175708358753269e-7,1.0175708358753269e-7,2.8479181745040275e-8,2.8479181745040275e-8,1.411215313341027e-6
t1895,2.394418973787171e-11,6.056002235307628e-11,6.93823796677086e-11,6.993256460687304e-11,-9.149410568349112e-11,0.0,0.0,6.613806957880152e-11,7.172249924705451e-11,6.942326612350186e-11,5.860591946448957e-11,7.64635633571486e-11,2.394418973787171e-11,2.394418973787171e-11,3.581894863738048e-11,3.581894863738048e-11,5.942046452035389e-10
t1896,1.0156863015685079e-7,4.733075148680352e-8,5.7034925376084124e-8,5.7581323433935904e-8,-8.500417132817209e-8,0.0,0.0,2.7484806107666194e-7,3.1503750297061933e-7,2.980403900995595e-7,3.457678437068568e-8,4.649147607136734e-8,1.0156863015685079e-7,1.0156863015685079e-7,2.836036832250131e-8,2.836036832250131e-8,1.4073636706731002e-6
t1897,2.1463989707429357e-11,5.428818669970758e-11,6.21813090668002e-11,6.267735317370674e-11,-8.281862678508255e-11,0.0,0.0,5.927937509187995e-11,6.42878919632651e-11,6.222712774418741e-11,5.267309120163276e-11,6.872740659241651e-11,2.1463989707429357e-11,2.1463989707429357e-11,3.2098735228673845e-11,3.2098735228673845e-11,5.321125543281495e-10
t1898,9.342031819338296e-8,4.571791876040924e-8,5.4999714775399964e-8,5.552735403697109e-8,-8.262931628143969e-8,0.0,0.0,2.743402359220223e-7,2.8921769036211614e-7,2.74100469114515e-7,3.361946328275727e-8,4.517518366647187e-8,9.342031819338296e-8,9.342031819338296e-8,2.735981498032617e-8,2.735981498032617e-8,1.3250492981800245e-6
t1899,2.588808487257081e-11,6.511376429580927e-11,7.457023791554902e-11,7.516937183808026e-11,-1.0035063818958487e-10,0.0,0.0,7.150463886969988e-11,7.753750589473529e-11,7.50517797598117e-11,6.323745513449524e-11,8.25224026373874e-11,2.588808487257081e-11,2.588808487257081e-11,3.8482740054265385e-11,3.8482740054265385e-11,6.389862528822264e-10
t1900,9.325642733776133e-8,4.555165457171276e-8,5.4779726764662094e-8,5.530842284040496e-8,-8.319935671881938e-8,0.0,0.0,2.738316846030886e-7,2.8866241183137465e-7,2.7358787555142234e-7,3.3579840219737806e-8,4.5124314364782046e-8,9.325642733776133e-8,9.325642733776133e-8,2.724574437141992e-8,2.724574437141992e-8,1.3214873447844897e-6
t1901,2.2981900599488854e-11,5.7813615836194714e-11,6.619396094865624e-11,6.672918486519006e-11,-8.999601686823253e-11,0.0,0.0,6.346373802794623e-11,6.882621166909696e-11,6.661901890327814e-11,5.6303622225852347e-11,7.348050644460737e-11,2.2981900599488854e-11,2.2981900599488854e-11,3.415820400702673e-11,3.415820400702673e-11,5.666959518651095e-10
t1902,1.0102052883479222e-7,4.681478978622232e-8,5.634977626478395e-8,5.6899478191827206e-8,-8.678473640276386e-8,0.0,0.0,2.733223588079752e-7,3.131742919902183e-7,2.963255232557989e-7,3.445417827336732e-8,4.63331462168444e-8,1.0102052883479222e-7,1.0102052883479222e-7,2.8005525582436058e-8,2.8005525582436058e-8,1.3959614440535225e-6
t1903,9.30059043119265e-8,4.5140878098015583e-8,-2.6283052174314286e-9,-3.675931732860136e-9,-1.4252371488182135e-9,0.0,0.0,2.730717088788021e-7,2.8781090247865776e-7,2.728075895604898e-7,3.352455246251888e-8,4.505576929130965e-8,9.30059043119265e-8,9.30059043119265e-8,-7.36174871303053e-10,-7.36174871303053e-10,1.2272272898638572e-6
t1904,1.0083658985563794e-7,4.664282416347233e-8,5.612155383281207e-8,5.667244586836848e-8,-8.739450668611067e-8,0.0,0.0,2.7281659840580684e-7,3.125526325408807e-7,2.957526206616849e-7,3.4412887177285523e-8,4.6279867211115255e-8,1.0083658985563794e-7,1.0083658985563794e-7,2.7887339326334182e-8,2.7887339326334182e-8,1.3921413713948976e-6
t1905,9.284843284473766e-8,4.5137414646644125e-8,5.423165759066215e-8,5.476309348556163e-8,-8.464853805428112e-8,0.0,0.0,2.725644681130257e-7,2.8728125582228716e-7,2.7231243634456075e-7,3.348088177809165e-8,4.499737072806073e-8,9.284843284473766e-8,9.284843284473766e-8,2.6961617656406026e-8,2.6961617656406026e-8,1.3125885743016377e-6
t1906,9.276724027223673e-8,4.5056013414296134e-8,5.412422660014942e-8,5.465604430735576e-8,-8.493115902365406e-8,0.0,0.0,2.723183259046097e-7,2.870066552336409e-7,2.7205938285889167e-7,-4.546755409316537e-8,-2.0548467172337197e-8,9.276724027223673e-8,9.276724027223673e-8,2.6905818633444224e-8,2.6905818633444224e-8,1.1663868261133856e-6
t1907,9.268019385968134e-8,4.4972187468592395e-8,5.401356529980151e-8,5.454596613351129e-8,-8.521550904664e-8,0.0,0.0,2.7205122132021084e-7,2.8671343518377383e-7,2.7178915062910727e-7,1.6255059393573542e-7,1.670225641444568e-7,9.268019385968134e-8,9.268019385968134e-8,2.684840724923978e-8,2.684840724923978e-8,1.5601805711460728e-6
t1908,9.260497818801421e-8,4.489082277098799e-8,5.390481160221976e-8,5.443784865901399e-8,-8.550728699500498e-8,0.0,0.0,2.7181087893863353e-7,2.864605773866644e-7,2.715531759093706e-7,1.6244567967493962e-7,3.1004694370720753e-7,9.260497818801421e-8,9.260497818801421e-8,2.679217966337276e-8,2.679217966337276e-8,1.7014427455448206e-6
t1909,1.0038244377510108e-7,4.621765585413056e-8,5.5558229551565856e-8,5.6111640937686646e-8,-8.888763281880247e-8,0.0,0.0,2.7156000133328675e-7,3.1101246755360594e-7,2.9433623647295517e-7,1.7289850901263438e-7,3.36820137577371e-7,1.0038244377510108e-7,1.0038244377510108e-7,2.759537184516091e-8,2.759537184516091e-8,1.811965320490059e-6
t1910,9.24428650609588e-8,4.472656001843352e-8,5.368865199270271e-8,5.422258606720001e-8,-8.607796768328472e-8,0.0,0.0,2.7131228245805957e-7,2.8591233768683933e-7,2.7104722795431563e-7,1.6220904677419595e-7,3.094994581181859e-7,9.24428650609588e-8,9.24428650609588e-8,2.6680026167812778e-8,2.6680026167812778e-8,1.6972288309051498e-6
t1911,9.236182414349478e-8,4.4643423875191655e-8,5.357847518367708e-8,5.4113049671346345e-8,-8.636846466726229e-8,0.0,0.0,2.7105731328824583e-7,2.856376475980626e-7,2.707926821758935e-7,1.620930848917584e-7,3.0923074901142413e-7,9.236182414349478e-8,9.236182414349478e-8,2.6623059344191198e-8,2.6623059344191198e-8,1.695109552147204e-6
t1912,1.0011036539670092e-7,4.5961330675808416e-8,5.521946758719736e-8,5.577449663814867e-8,-8.978462141246539e-8,0.0,0.0,2.7080617877405786e-7,3.100891583917093e-7,2.934857202321257e-7,1.7251598085377286e-7,3.358963171524487e-7,1.0011036539670092e-7,1.0011036539670092e-7,2.7419953341168643e-8,2.7419953341168643e-8,1.8051350317652434e-6
t1913,1.0001974006428726e-7,4.5875769114811176e-8,5.510613357821542e-8,5.566182757249716e-8,-9.008579487923513e-8,0.0,0.0,2.7055509033917696e-7,3.097824775020964e-7,2.9320129364951845e-7,1.7238970180535948e-7,3.3559143326401124e-7,1.0001974006428726e-7,1.0001974006428726e-7,2.736134350126696e-8,2.736134350126696e-8,1.802859839141847e-6
t1914,9.212044695896545e-8,4.4397698956078197e-8,5.325520163734593e-8,5.3791425177123074e-8,-8.720643672902391e-8,0.0,0.0,2.7031259785842865e-7,2.848202926453546e-7,2.70038169463422e-7,1.6173757732097042e-7,3.0840938328397053e-7,9.212044695896545e-8,9.212044695896545e-8,2.6455403297580317e-8,2.6455403297580317e-8,1.6888280570857264e-6
t1915,2.4354341853706295e-11,6.014335023515958e-11,6.779826024504504e-11,6.841211911548637e-11,-1.0091781299427353e-10,0.0,0.0,6.720073044076038e-11,7.288609081207743e-11,7.053277069480762e-11,6.23364002482854e-11,8.176956004675258e-11,2.4354341853706295e-11,2.4354341853706295e-11,3.50103200159088e-11,3.50103200159088e-11,5.932451344370374e-10
t1916,9.974892596068242e-8,4.562132411751099e-8,5.4769779700399314e-8,5.5327591625071844e-8,-9.095821761879819e-8,0.0,0.0,2.69805992470749e-7,3.088609383546021e-7,2.923546352060717e-7,1.720045370259175e-7,3.346650200341304e-7,9.974892596068242e-8,9.974892596068242e-8,2.718706537781435e-8,2.718706537781435e-8,1.7960725095533306e-6
t1917,2.7196298918171555e-11,6.697398733380169e-11,7.552421303970233e-11,7.618697798009744e-11,-1.1306027931821585e-10,0.0,0.0,7.505271988041345e-11,8.14053779317413e-11,7.878421642769458e-11,6.96196602146378e-11,9.131479292558666e-11,2.7196298918171555e-11,2.7196298918171555e-11,3.893880958553262e-11,3.893880958553262e-11,6.612681823410393e-10
t1918,9.956919880309332e-8,4.5451677217425544e-8,5.4546245512435325e-8,5.510505181002636e-8,-9.155762693789618e-8,0.0,0.0,2.6930841376888387e-7,3.082495229012553e-7,2.917925458401447e-7,1.7174919237732493e-7,3.340507687764173e-7,9.956919880309332e-8,9.956919880309332e-8,2.707129909111406e-8,2.707129909111406e-8,1.7915459858575253e-6
t1919,2.689130686114006e-11,6.616868498859879e-11,7.560988349033843e-11,7.626302981006936e-11,-1.1256337355949238e-10,0.0,0.0,7.421251040380818e-11,8.048647968269148e-11,7.789927751478342e-11,6.88419012378904e-11,9.02926514325082e-11,2.689130686114006e-11,2.689130686114006e-11,3.895880066261558e-11,3.895880066261558e-11,6.558025669098472e-10
t1920,9.164574474750332e-8,4.390707077122322e-8,5.2607925413796145e-8,5.314764327780077e-8,-8.894198189178081e-8,0.0,0.0,2.6881328221889076e-7,2.8321024468524266e-7,2.685492745270675e-7,1.6104356590099205e-7,3.068056191573695e-7,9.164574474750332e-8,9.164574474750332e-8,2.6120060663697805e-8,2.6120060663697805e-8,1.6763199996305076e-6
t1921,2.9620027775391706e-11,7.25878050442948e-11,8.292979855297964e-11,8.365052196197404e-11,-1.2465130965379164e-10,0.0,0.0,8.174857468051391e-11,8.86516877023164e-11,8.580255676027153e-11,7.580757834332137e-11,9.945898271578449e-11,2.9620027775391706e-11,2.9620027775391706e-11,4.271951240296932e-11,4.271951240296932e-11,7.202853042397783e-10
t1922,9.147894488571561e-8,4.374203527176532e-8,5.239202865923609e-8,5.293262757806551e-8,-8.951601463056136e-8,0.0,0.0,2.68319648592492e-7,2.8264724121481185e-7,2.68030046846658e-7,1.6079724730905464e-7,3.062400198393797e-7,9.147894488571561e-8,9.147894488571561e-8,2.6008148210867553e-8,2.6008148210867553e-8,1.6720380117597837e-6
t1923,3.511859894380032e-11,8.555349371975017e-11,9.772880613434398e-11,9.858400140212441e-11,-1.4836219020496515e-10,0.0,0.0,9.693272512646396e-11,1.0510703063323288e-10,1.0172841475491454e-10,8.983290149420415e-11,1.1792174468003223e-10,3.511859894380032e-11,3.511859894380032e-11,5.032740699317739e-11,5.032740699317739e-11,8.510375385578569e-10
t1924,9.13194616397925e-8,4.357886653262668e-8,5.217763562441774e-8,5.271921855010476e-8,-9.009516090038889e-8,0.0,0.0,2.678252990500668e-7,2.821079755838029e-7,2.675316398631722e-7,1.6056314866929938e-7,3.057013550683774e-7,9.13194616397925e-8,9.13194616397925e-8,2.5897077936357467e-8,2.5897077936357467e-8,1.6678625188335714e-6
t1925,5.925174729030677e-11,1.4205215804357604e-10,1.6227970354954605e-10,1.6371112220677236e-10,-2.4895187981392836e-10,0.0,0.0,1.6361959807611043e-10,1.7735458244593062e-10,1.7164946598410786e-10,1.5127434419018093e-10,1.989037390065957e-10,5.925174729030677e-11,5.925174729030677e-11,8.351254357934865e-11,8.351254357934865e-11,1.4266731627185092e-9
t1926,9.885419505806932e-8,4.477551166674592e-8,5.3655852108622784e-8,5.4218620044318976e-8,-9.396621605552956e-8,0.0,0.0,2.6732909805473554e-7,3.05822772504874e-7,2.8955858606459686e-7,1.70733794386625e-7,3.316153179921557e-7,9.885419505806932e-8,9.885419505806932e-8,2.6610335674349236e-8,2.6610335674349236e-8,1.7735265932900517e-6
t1927,4.2045911566198923e-11,1.0137508518967524e-10,1.1417594202775575e-10,1.1521595965401655e-10,-1.7978343158819975e-10,0.0,0.0,1.1602180974335913e-10,1.2582289371708636e-10,1.217686900504773e-10,1.0747194533275876e-10,1.4120392988951702e-10,4.2045911566198923e-11,4.2045911566198923e-11,5.880296019451131e-11,5.880296019451131e-11,1.0070164791040657e-9
t1928,9.867529117534091e-8,4.4606576001779677e-8,5.343319048801553e-8,5.39971370025065e-8,-9.459962631544696e-8,0.0,0.0,2.668382354276479e-7,3.052200612229324e-7,2.8900168325171963e-7,1.7048165906491315e-7,3.310130249548015e-7,9.867529117534091e-8,9.867529117534091e-8,2.649514121675889e-8,2.649514121675889e-8,1.7690080970584097e-6
t1929,9.092043171263105e-8,4.317212532499185e-8,5.1643316447013964e-8,5.2187452798757814e-8,-9.157139504989601e-8,0.0,0.0,2.665926314632297e-7,2.8076672656940967e-7,2.6629138575901636e-7,1.5997646083004473e-7,3.0436029946338915e-7,9.092043171263105e-8,9.092043171263105e-8,2.5620320456032622e-8,2.5620320456032622e-8,1.6574209396559155e-6
t1930,1.3550271252470842e-9,2.6017281032605906e-9,2.9862312559039945e-9,3.0136013911314112e-9,-4.754757976715608e-9,0.0,0.0,3.772734780403514e-9,4.066841174518584e-9,3.933969330208397e-9,3.3508293466711827e-9,4.5259826947208735e-9,1.3550271252470842e-9,1.3550271252470842e-9,1.5248154815391381e-9,1.5248154815391381e-9,3.061187243892247e-8
t1931,2.44044674615724e-9,4.286947381424042e-9,4.9321076767198656e-9,4.977834723271719e-9,-7.938164200208599e-9,0.0,0.0,6.818003977425338e-9,7.3332248346763335e-9,7.091286281232752e-9,5.950215796067547e-9,8.136176371007026e-9,2.44044674615724e-9,2.44044674615724e-9,2.5113752532724156e-9,2.5113752532724156e-9,5.393172358663257e-8
t1932,9.068845391484472e-8,4.293114796352563e-8,5.132866104934385e-8,5.18738070245426e-8,-9.243326163154358e-8,0.0,0.0,2.6586529575082934e-7,2.719571416223654e-7,2.577568180973922e-7,1.5962679574975132e-7,2.838357399864768e-7,9.068845391484472e-8,9.068845391484472e-8,2.5456806558215066e-8,2.5456806558215066e-8,1.6157211204736481e-6
t1933,9.06394840269604e-8,4.285531027654819e-8,5.122358072653827e-8,5.1769831346258534e-8,-9.275453817959464e-8,0.0,0.0,2.6561764437919976e-7,3.0373442372188646e-7,2.876353663770853e-7,1.5956532549090022e-7,3.7636539628561215e-7,9.06394840269604e-8,9.06394840269604e-8,2.5403412456815693e-8,2.5403412456815693e-8,1.7687376174189468e-6
t1934,9.05527369511351e-8,4.277270033107588e-8,5.111684185178996e-8,5.1663448067996934e-8,-9.303857125133824e-8,0.0,0.0,2.6537381358647155e-7,3.0341110298383794e-7,2.873399965377123e-7,1.5943454985463843e-7,3.7596647129123397e-7,9.05527369511351e-8,9.05527369511351e-8,2.5347785033264073e-8,2.5347785033264073e-8,1.7663941341733523e-6
t1935,9.048192896596358e-8,4.2693088155564654e-8,5.101092172518252e-8,5.155820149449375e-8,-9.334021902217956e-8,0.0,0.0,2.651277534422567e-7,3.03138217348704e-7,2.870851219166134e-7,1.593334584936419e-7,3.756437310731506e-7,9.048192896596358e-8,9.048192896596358e-8,2.529334514142049e-8,2.529334514142049e-8,1.7642827518081596e-6
t1936,9.040285791113439e-8,4.261201851531307e-8,5.09049645100795e-8,5.145274171251307e-8,-9.36321609919475e-8,0.0,0.0,2.6488311331792973e-7,3.028384295618991e-7,2.8680947483251116e-7,1.592159096855197e-7,3.7527879543216657e-7,9.040285791113439e-8,9.040285791113439e-8,2.523840556455905e-8,2.523840556455905e-8,1.7620486714385057e-6
t1937,9.032613182423814e-8,4.253100140844531e-8,5.079802867085077e-8,5.134649129180666e-8,-9.393022347201612e-8,0.0,0.0,2.6463806920401466e-7,3.0253966065520173e-7,2.8653174991186025e-7,1.5910425821575584e-7,3.7493053000442575e-7,9.032613182423814e-8,9.032613182423814e-8,2.5183265738039378e-8,2.5183265738039378e-8,1.759834492839138e-6
t1938,9.0220276516114e-8,4.2446215556075615e-8,5.069217870845567e-8,5.1240436577010485e-8,-9.417070613501498e-8,0.0,0.0,2.6440674135099786e-7,3.021572679880501e-7,2.861876878920003e-7,1.5893862898387553e-7,3.744296484189653e-7,9.0220276516114e-8,9.0220276516114e-8,2.512761129382512e-8,2.512761129382512e-8,1.757244151476408e-6
t1939,4.063718685905487e-11,9.689999932182889e-11,1.1049333551342952e-10,1.1151541474098286e-10,-1.814109177145207e-10,0.0,0.0,1.1209228460122814e-10,1.217379049486959e-10,1.1781527757092207e-10,1.0388953547073301e-10,1.3706010151094958e-10,4.063718685905487e-11,4.063718685905487e-11,5.681961661574043e-11,5.681961661574043e-11,9.656437297728947e-10
t1940,9.008874639475086e-8,4.228867638756308e-8,5.0480569298969026e-8,5.1030693303258826e-8,-9.478227912519655e-8,0.0,0.0,2.6391058327654713e-7,3.016459054059527e-7,2.8570737526010893e-7,1.5875146784853732e-7,3.738386245994379e-7,9.008874639475086e-8,9.008874639475086e-8,2.501888162024871e-8,2.501888162024871e-8,1.7531756186799285e-6
t1941,3.5770046255910046e-11,8.526846776806949e-11,9.584706430201372e-11,9.675595147687798e-11,-1.6136370641360184e-10,0.0,0.0,9.862941420620737e-11,1.0713276408009289e-10,1.036781647111934e-10,9.148026525311687e-11,1.206420506133221e-10,3.5770046255910046e-11,3.5770046255910046e-11,4.930583670102855e-11,4.930583670102855e-11,8.439922481670792e-10
t1942,8.993160632556991e-8,4.212766443777388e-8,5.0270343326876724e-8,5.082135778178973e-8,-9.536927773933304e-8,0.0,0.0,2.6342678306919026e-7,3.0105367643520887e-7,2.851623077561722e-7,1.585179868018879e-7,3.731152291668085e-7,8.993160632556991e-8,8.993160632556991e-8,2.4910021424606975e-8,2.4910021424606975e-8,1.7487409328622987e-6
t1943,2.5349238858279664e-11,6.081547397714569e-11,6.930164207207836e-11,6.994993291758519e-11,-1.1590673733833816e-10,0.0,0.0,6.988200286798944e-11,7.589461886077061e-11,7.344960564213554e-11,6.489815812765572e-11,8.547111368723854e-11,2.5349238858279664e-11,2.5349238858279664e-11,3.56391855043412e-11,3.56391855043412e-11,6.010818983977823e-10
t1944,8.974854601683262e-8,4.196154003740115e-8,5.00575466914774e-8,5.060908207830046e-8,-9.593731327289773e-8,0.0,0.0,2.6294720736335664e-7,3.0037587754405034e-7,2.8454409246501204e-7,1.582409240715118e-7,3.7227124601784154e-7,8.974854601683262e-8,8.974854601683262e-8,2.479917546000923e-8,2.479917546000923e-8,1.74391419196657e-6
t1945,2.786838721246285e-11,6.65852146613487e-11,7.586067054543139e-11,7.65753138511922e-11,-1.2806601820692183e-10,0.0,0.0,7.682941906256069e-11,8.343940081204164e-11,8.075169383994739e-11,7.132888575337242e-11,9.398260881142745e-11,2.786838721246285e-11,2.786838721246285e-11,3.900209710523411e-11,3.900209710523411e-11,6.588965449782568e-10
t1946,8.958402651164255e-8,4.1799209215233355e-8,4.9846571558263086e-8,5.039894935770703e-8,-9.652208057690447e-8,0.0,0.0,2.6246875250945714e-7,2.997581761528581e-7,2.8397538357950226e-7,1.579966844069841e-7,3.715161619020507e-7,8.958402651164255e-8,8.958402651164255e-8,2.468992225191231e-8,2.468992225191231e-8,1.7393697321439034e-6
t1947,4.4760065990612826e-11,1.0552584356699949e-10,1.2022317276519704e-10,1.2136494023168643e-10,-2.049384125968269e-10,0.0,0.0,1.2345639511646173e-10,1.3406990423679728e-10,1.2975052988989603e-10,1.1438716665615801e-10,1.5104130972254602e-10,4.4760065990612826e-11,4.4760065990612826e-11,6.177295903991239e-11,6.177295903991239e-11,1.0527069656405784e-9
t1948,8.942606397350244e-8,4.1638840442600955e-8,4.963760480478888e-8,5.019082523895137e-8,-9.71108439961196e-8,0.0,0.0,2.619921737946574e-7,2.9916409843194723e-7,2.834280479518461e-7,1.5776255154762556e-7,3.70793223895965e-7,8.942606397350244e-8,8.942606397350244e-8,2.458170692882896e-8,2.458170692882896e-8,1.7349381278904282e-6
t1949,4.8993542209851785e-11,1.1495941144505872e-10,1.3094712970444887e-10,1.3219929397240995e-10,-2.2536808074609845e-10,0.0,0.0,1.3513530790596664e-10,1.4675506788927308e-10,1.4202568072348687e-10,1.251621791679169e-10,1.6536320793577157e-10,4.8993542209851785e-11,4.8993542209851785e-11,6.726526666738872e-11,6.726526666738872e-11,1.148690357962567e-9
t1950,8.930476669265049e-8,4.148640528263793e-8,4.943435991774736e-8,4.9988816411500325e-8,-9.772576244881643e-8,0.0,0.0,2.615099974773578e-7,2.9869327650419325e-7,2.829892482952633e-7,1.5758769826405321e-7,3.7024349370454197e-7,8.930476669265049e-8,8.930476669265049e-8,2.4476875038543484e-8,2.4476875038543484e-8,1.7310755835635171e-6
t1951,3.698226611580716e-11,8.719135060859152e-11,9.928247830518714e-11,1.0023710133281416e-10,-1.7250053268158064e-10,0.0,0.0,1.0195645667940821e-10,1.1073186154650484e-10,1.0716276285106013e-10,9.456806728278231e-11,1.2479253447085066e-10,3.698226611580716e-11,3.698226611580716e-11,5.1004841438889756e-11,5.1004841438889756e-11,8.663785616208193e-10
t1952,8.91516547781563e-8,4.1325861798630064e-8,4.9223321687103005e-8,4.977910531728439e-8,-9.835564019249729e-8,0.0,0.0,2.610327016894453e-7,2.9811639829607844e-7,2.824523407498437e-7,1.5736437498724637e-7,3.69554316526511e-7,8.91516547781563e-8,8.91516547781563e-8,2.4368110519896004e-8,2.4368110519896004e-8,1.7266839662339056e-6
t1953,5.32168568367757e-8,3.306439802325983e-8,3.908835475724391e-8,3.9519971838541945e-8,-7.646477199872803e-8,0.0,0.0,1.5428257271094598e-7,1.7271530268136975e-7,1.6503210843359006e-7,1.0335370970684271e-7,2.0585180553634475e-7,5.32168568367757e-8,5.32168568367757e-8,1.942710321218304e-8,1.942710321218304e-8,1.0349482286241041e-6
t1954,4.29276952248731e-9,6.5724088636067006e-9,7.564281607962888e-9,7.640837684795234e-9,-1.3678016772861406e-8,0.0,0.0,1.2035445512008952e-8,1.3109993108109492e-8,1.2670629946110721e-8,7.695118433716552e-9,1.4859967792045112e-8,4.29276952248731e-9,4.29276952248731e-9,3.831594568185327e-9,3.831594568185327e-9,8.901216387932683e-8
t1955,6.744538959760291e-8,3.66819975599639e-8,4.349388085418477e-8,4.3982747245877954e-8,-8.69832847229103e-8,0.0,0.0,1.9649776230031312e-7,2.2158063439144712e-7,2.1102133847180837e-7,1.7878962643183947e-7,2.6821213555350957e-7,6.744538959760291e-8,6.744538959760291e-8,2.157181126241923e-8,2.157181126241923e-8,1.3587566294036812e-6
t1956,5.9585526737260934e-8,3.467298343325615e-8,4.103286228309156e-8,4.149265087103368e-8,-8.19507653018294e-8,0.0,0.0,1.7317847180932135e-7,1.9444994182909601e-7,1.8552434142152442e-7,1.5804973909756697e-7,2.3340539061899297e-7,5.9585526737260934e-8,5.9585526737260934e-8,2.0369126359928813e-8,2.0369126359928813e-8,1.199350448993694e-6
t1957,8.870230530088114e-8,4.0917232329205724e-8,4.869751810771595e-8,4.925502069826247e-8,-9.979484277897859e-8,0.0,0.0,2.598558551154733e-7,2.96467488955591e-7,2.80938998217436e-7,2.3456430365306825e-7,3.6751311248030844e-7,8.870230530088114e-8,8.870230530088114e-8,2.4095364520029434e-8,2.4095364520029434e-8,1.7927123317207848e-6
t1958,5.612681225973894e-8,3.3634347928096935e-8,3.975568938759714e-8,4.0202770944609785e-8,-7.996488694499849e-8,0.0,0.0,1.6292559271532312e-7,1.825968991488018e-7,1.7435487001474187e-7,1.4891428933567478e-7,2.1841467361866995e-7,5.612681225973894e-8,5.612681225973894e-8,1.9740810463507834e-8,1.9740810463507834e-8,1.1286963038547493e-6
t1959,8.860883147943635e-8,4.0772507125217995e-8,4.8502491348582024e-8,4.906123808394117e-8,-1.0042983837219409e-7,0.0,0.0,2.5937830877267085e-7,2.9609616272451986e-7,2.805914934915567e-7,2.3435724498464033e-7,3.670957684189651e-7,8.860883147943635e-8,8.860883147943635e-8,2.3994563698394925e-8,2.3994563698394925e-8,1.7892409984129989e-6
t1960,8.853155687753235e-8,4.069233869259588e-8,4.83979721464413e-8,4.895727899140856e-8,-1.0073095649694906e-7,0.0,0.0,2.591400088316751e-7,2.9580529012452783e-7,2.803223860258739e-7,2.341666146414956e-7,3.6674497524640417e-7,8.853155687753235e-8,8.853155687753235e-8,2.3940551335999165e-8,2.3940551335999165e-8,1.7869716815080687e-6
t1961,8.845578974382884e-8,4.061272811801706e-8,4.829370827061233e-8,4.8853596740819766e-8,-1.01034877650451e-7,0.0,0.0,2.5890162974454043e-7,2.9551772916424033e-7,2.800537738587614e-7,2.339818950633457e-7,3.664023497224296e-7,8.845578974382884e-8,8.845578974382884e-8,2.3886887709296802e-8,2.3886887709296802e-8,1.7847236776823956e-6
t1962,6.02271523685394e-8,3.4517176837088735e-8,4.082665112039475e-8,4.129168663937858e-8,-8.400031229625996e-8,0.0,0.0,1.7509199347659086e-7,1.9662189619525093e-7,1.8758373798954772e-7,1.5975713900416917e-7,2.3630409295271255e-7,6.02271523685394e-8,6.02271523685394e-8,2.0249634589126114e-8,2.0249634589126114e-8,1.209174788202744e-6
