Resource,CAISO_Advanced_CCGT_candidate,CAISO_Aero_CT_candidate,CAISO_Reciprocating_Engine_candidate,CAISO_Shed_DR_Tranche1,CAM_CAM_RA_i,CAM_CAM_RA_ii,CAM_CAM_RA_iii,CAM_CPE_RA_i,CAM_CPE_RA_ii,CAM_DR_RA,Generic_RA_Only,Leapfrog_Power,Tierra_Buena,Aquamarine_Westside,Arizona_Solar,Humboldt_Bay_Offshore_Wind,Morro_Bay_Offshore_Wind,NW_Ext_Tx_Wind,New_Mexico_Wind,Northern_California_Solar,Northern_California_Wind,Riverside_Palm_Springs_Wind,Riverside_Solar,Wyoming_Wind,Arizona_Li_Battery,CAISO_New_Flow_Battery,CAISO_New_Flow_Battery_12,CAISO_New_Flow_Battery_8,CAISO_New_LDES_Battery_12,CC_Power_GoalLine,CC_Power_Tumbleweed,Generic_4hr_battery_low_cost,Generic_6hr_battery,Generic_6hr_battery_low_cost,Generic_8hr_battery,Generic_8hr_battery_low_cost,Northern_California_Li_Battery,Riverside_Li_Battery,Riverside_West_Pumped_Storage,Tehachapi_Pumped_Storage,FishLake,Greater_Imperial_Geothermal,InState_Biomass,Northern_California_Geothermal,Ormat_Portfolio,Southern_Nevada_Geothermal,IndianValley_Hydro,GibsonSolar,PutahCreek,Resurgence_Hybrid,WillowSpringsSolar,Total
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.556043717052205e-5,9.915662233066919e-5,0.0,0.0,1.2002727587541558e-5,4.588920857910045e-6,8.806416070655825e-5,1.9180794491196345e-5,1.7454657661267465e-5,9.941233879118272e-5,1.1693905408806137e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.754774222487129e-5,4.8483837491794186e-5,4.8483379433157836e-5,0.0005416295241554771
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.900079847975803e-5,0.00012602913189488363,0.0,0.0,1.3219933457005453e-5,3.6532783769321807e-6,0.00011429167601320536,1.8278709089387397e-5,1.6644653851820044e-5,0.00012635090763524204,1.0449468537209017e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0121719961014684e-5,6.159922012054864e-5,6.162926676352498e-5,0.0006712687641805315
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.341852300018047e-5,0.00013488243028227445,0.0,0.0,1.3922914114058003e-5,4.344614249093925e-6,0.00012196982411436116,1.5671877159150225e-5,2.0850774570869563e-5,0.00013523881702326435,1.1547251462872033e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.267718200773523e-5,6.58819114036504e-5,6.590925893202382e-5,0.0007163153783195335
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.59842394874488e-5,0.0001400037517815811,0.0,0.0,1.4732539088743703e-5,5.807168518129384e-6,0.0001256549181741348,1.4248409447555393e-5,2.7377864267880335e-5,0.00014039042314095695,1.3561766837219776e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.660254581440252e-5,6.835555310496488e-5,6.838730138637317e-5,0.0007511064810493908
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.880841088729994e-5,0.0001456162520051367,0.0,0.0,1.608008286121292e-5,6.493233370693494e-6,0.0001314209666430663,1.4759839156227874e-5,3.117284648360625e-5,0.00014606122062588156,1.4555671040859361e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.003389265316583e-5,7.108661633928648e-5,7.11174134959407e-5,0.0007872064455623775
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.981523664251199e-5,0.0001475483556955988,0.0,0.0,1.7567373447873316e-5,6.58583571377485e-6,0.00013301342689378537,1.4502656658846352e-5,3.144729420524562e-5,0.00014800219472022036,1.5531927770354754e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.031557362938961e-5,7.206255107060144e-5,7.210599292952224e-5,0.0007984984193777247
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.423092098728489e-5,0.0001362960236403997,0.0,0.0,1.8985349902998254e-5,6.664903310892628e-6,0.00012260860538573716,1.4496636087150765e-5,2.9650966834208548e-5,0.00013672004601517074,1.5779026183902112e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.508185645550374e-5,6.66412642403884e-5,6.670760482610661e-5,0.0007438632038697436
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.402479616734013e-5,0.00011571857843307998,0.0,0.0,2.0108051531011572e-5,7.666436721271692e-6,0.00010152964677767254,1.6143019473849516e-5,2.6125013057817887e-5,0.00011621489281665731,1.7545719164285587e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4931307137252236e-5,5.670362281465202e-5,5.6711667891157446e-5,0.0006434227519860479
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0947244544529156e-6,2.0006921117931425e-5,0.0,0.0,1.336201985973869e-5,6.254682243004701e-6,1.8684969405460838e-5,1.2259833832474437e-5,1.3883481911769427e-5,2.0162434850590216e-5,1.223849825963738e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.491728617861738e-6,9.487550383062704e-6,0.00014192684493598444
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3683799238942441e-5,5.8873391202153225e-6,0.0,1.2982451470753715e-5,1.3708752489058194e-5,0.0,1.298783134330683e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9250173662276505e-5
